,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,H2O/CO2
474,55.46198722,-9.676450573,452.3554282,1.488857337,15.38423945,0.000761153,0.967112553,0.029159864,0.932566335,0.038273801,0.005921029,0.023238835,0.832998559,0.947063484,4.757435227,0.986175598,0.013824402,0,104.5644171,104.5644171,38.09482068,17.04964509,0,211.2085974,0.203054053,0.108391477,500.2097821,3.110080808,10.73628509,0.097015069,0.000150799,0.001240444,0.000416485,0.00163462,0.020472421,0.073181587,0.218596313,0,0,0,0,-10.47645057,243.4206782,1503.443444,3.192575392,0.029159864,0.932566335,0.038273801,0.005921029,0.023238835,0.986175598,0.013824402,0,1.312550744,0.551937321,1.312954966,1.312954966,0.761017645,273.0129556,0,24.36565769
475,55.02629132,-9.676818348,449.7285645,1.482170181,15.16985999,0.00075684,0.967323506,0.029120554,0.932804866,0.03807458,0.005941865,0.023178688,0.83224847,0.946187424,4.752274817,0.986104436,0.013895564,0,105.0562129,105.0562129,38.25848305,17.04445683,0,213.0579544,0.204043696,0.108227375,496.5154734,3.093643237,10.61480712,0.096996706,0.000149685,0.001233378,0.000420213,0.001639214,0.02047171,0.07317554,0.218604498,0,0,0,0,-10.47681835,243.3152019,1501.866137,3.170338656,0.029120554,0.932804866,0.03807458,0.005941865,0.023178688,0.986104436,0.013895564,0,1.307481317,0.547602766,1.312878511,1.312878511,0.765275746,272.8444392,0,24.49941301
476,54.59059542,-9.677186122,447.0957758,1.475459784,14.95765382,0.000752517,0.967535236,0.029081435,0.933041809,0.037876755,0.005963072,0.023118363,0.831501933,0.945314113,4.747130733,0.986033031,0.013966969,0,105.5554641,105.5554641,38.42479753,17.03918368,0,214.9377873,0.205047378,0.10806349,492.8170519,3.077258863,10.49393037,0.096978041,0.000148573,0.001226294,0.000423991,0.001643779,0.020470994,0.073169475,0.218612686,0,0,0,0,-10.47718612,243.2093879,1500.283253,3.14805624,0.029081435,0.933041809,0.037876755,0.005963072,0.023118363,0.986033031,0.013966969,0,1.302437617,0.543218277,1.312795003,1.312795003,0.769576726,272.6756729,0,24.63362556
477,54.15489953,-9.677553897,444.4569274,1.468725942,14.74759614,0.000748182,0.967747747,0.029042509,0.933277181,0.037680309,0.005984656,0.023057854,0.830758986,0.944443574,4.742003281,0.98596138,0.01403862,0,106.0623593,106.0623593,38.5938301,17.03382535,0,216.848838,0.206065376,0.107899824,489.1145371,3.060926735,10.37365218,0.096959068,0.000147462,0.001219192,0.000427819,0.001648313,0.020470274,0.073163391,0.218620876,0,0,0,0,-10.4775539,243.1032337,1498.694743,3.125728223,0.029042509,0.933277181,0.037680309,0.005984656,0.023057854,0.98596138,0.01403862,0,1.297419202,0.538782865,1.31270432,1.31270432,0.773921455,272.5066537,0,24.76829935
478,53.71920363,-9.677921671,441.8118849,1.461968446,14.53966251,0.000743837,0.967961027,0.029003777,0.933510998,0.037485225,0.006006623,0.022997154,0.830019669,0.943575833,4.736892718,0.985889482,0.014110518,0,106.5770927,106.5770927,38.76564861,17.02838124,0,218.7918728,0.207097973,0.107736376,485.4079402,3.044645829,10.25396981,0.09693978,0.000146351,0.00121207,0.000431699,0.001652817,0.020469548,0.073157289,0.218629068,0,0,0,0,-10.47792167,242.9967366,1497.100557,3.103354631,0.029003777,0.933510998,0.037485225,0.006006623,0.022997154,0.985889482,0.014110518,0,1.292425645,0.534295514,1.312606338,1.312606338,0.778310824,272.3373788,0,24.90343847
479,53.28350773,-9.678289446,439.1605082,1.45518708,14.33382884,0.000739479,0.968175091,0.028965239,0.933743275,0.037291486,0.006028983,0.022936256,0.829284022,0.942710917,4.731799368,0.985817334,0.014182666,0,107.099866,107.099866,38.94032359,17.02285122,0,220.7676831,0.208145463,0.107573145,481.6972859,3.028415196,10.13488064,0.096920172,0.000145242,0.001204928,0.000435632,0.001657289,0.020468817,0.073151168,0.218637262,0,0,0,0,-10.47828945,242.889894,1495.500642,3.080935577,0.028965239,0.933743275,0.037291486,0.006028983,0.022936256,0.985817334,0.014182666,0,1.287456504,0.529755177,1.31250093,1.31250093,0.782745753,272.1678451,0,25.03904712
480,52.84781183,-9.678657221,436.5026595,1.448381625,14.13007138,0.00073511,0.968389919,0.028926898,0.933974027,0.037099075,0.006051743,0.022875155,0.828552086,0.941848851,4.72672345,0.985744933,0.014255067,0,107.6308858,107.6308858,39.11792727,17.01723444,0,222.7770865,0.209208143,0.107410132,477.9825799,3.012233731,10.01638188,0.096900237,0.000144134,0.001197766,0.000439619,0.00166173,0.020468081,0.073145028,0.218645458,0,0,0,0,-10.47865722,242.782703,1493.894947,3.058471051,0.028926898,0.933974027,0.037099075,0.006051743,0.022875155,0.985744933,0.014255067,0,1.282511369,0.525160781,1.312387962,1.312387962,0.78722718,271.9980493,0,25.17512962
481,52.41211594,-9.679024995,433.8381949,1.441551854,13.92836671,0.000730729,0.968605523,0.028888753,0.934203271,0.036907976,0.00607491,0.022813843,0.827823905,0.940989663,4.721665284,0.985672275,0.014327725,0,108.1703669,108.1703669,39.29853487,17.01153068,0,224.8209281,0.210286325,0.107247336,474.2638447,2.996100474,9.898470916,0.09687997,0.000143026,0.001190585,0.000443662,0.001666137,0.02046734,0.073138869,0.218653656,0,0,0,0,-10.479025,242.6751608,1492.283417,3.035961153,0.028888753,0.934203271,0.036907976,0.00607491,0.022813843,0.985672275,0.014327725,0,1.277589804,0.52051122,1.312267298,1.312267298,0.791756078,271.8279883,0,25.3116904
482,51.97642004,-9.67939277,431.1669694,1.434697536,13.72869177,0.000726336,0.968821904,0.028850806,0.93443102,0.036718173,0.006098493,0.022752314,0.827099522,0.940133381,4.716625122,0.98559936,0.01440064,0,108.718531,108.718531,39.48222391,17.00573941,0,226.9000814,0.211380323,0.107084756,470.5410964,2.980014322,9.781145061,0.096859362,0.00014192,0.001183382,0.000447761,0.001670512,0.020466593,0.073132691,0.218661857,0,0,0,0,-10.47939277,242.5672646,1490.665997,3.01340594,0.028850806,0.93443102,0.036718173,0.006098493,0.022752314,0.98559936,0.01440064,0,1.272691395,0.515805357,1.312138796,1.312138796,0.796333438,271.6576588,0,25.448734
483,51.54072414,-9.679760544,428.4888367,1.427818432,13.53102382,0.00072193,0.969039059,0.028813059,0.934657292,0.036529649,0.0061225,0.022690559,0.826378982,0.939280033,4.711603221,0.985526182,0.014473818,0,109.2756068,109.2756068,39.66907445,16.99986005,0,229.0154494,0.212490463,0.106922394,466.8143488,2.963974183,9.664401622,0.096838408,0.000140814,0.001176158,0.000451918,0.001674852,0.020465842,0.073126494,0.21867006,0,0,0,0,-10.47976054,242.4590111,1489.04263,2.990805454,0.028813059,0.934657292,0.036529649,0.0061225,0.022690559,0.985526182,0.014473818,0,1.267815728,0.511042026,1.312002309,1.312002309,0.800960283,271.4870572,0,25.58626508
