,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,650,-7.5208242,1000,2.65,1200,0.00150905,1.28629388,0,0.9,0.1,0,0,4.436224999,4.505002646,0,1,0,0,0,0,0,0,0,0,0,0.979377102,7524.819199,0,0,0.120978742,0,0,0,0,0.041897062,0.120464214,0.258048364,11.66468352,0,0,0,-9.0208242,1026.911212,4680.258722,13.04050988,0,0,0,0,0,0,0,0,0,1,0,0,0,4778.811669,0
1,649.4587156,-7.521257811,1000,2.65,1200,0.001618292,1.285673494,0.007714622,0.9,0.1,0.005705686,0.002008936,4.429746788,4.498638997,1.175264755,1,0,0,11.75264755,11.75264755,5.112236374,4.728307983,0,5.120320886,0.739593746,0.979376924,7514.926703,166.7019039,57.79582916,0.000514532,0.003054349,6.43E-05,0,0,0.041898389,0.120462887,0.25805654,0,0,-0.041898389,-0.120462887,-9.021257811,881.4912083,4680.258722,13.02986925,0.007714622,0.9,0.1,0.005705686,0.002008936,1,0,0,12.96239833,1,-0.511177879,-0.511177879,-1.511177879,4778.812536,0
2,648.9174312,-7.521691422,1000,2.65,1200,0.001618292,1.285053669,0.008276397,0.9,0.1,0.006120805,0.002155592,4.423277717,4.49228454,1.258959591,1,0,0,12.58959591,12.58959591,5.114277356,4.73082703,0,5.122368012,0.73954944,0.979336375,7505.043531,178.4289034,61.87286708,-0.119947344,0.003054222,6.44E-05,0,0,0.041899717,0.120461559,0.25806472,0,0,-0.083798106,-0.240924446,-9.021691422,881.5896695,4680.258722,13.01923091,0.008276397,0.9,0.1,0.006120805,0.002155592,1,0,0,12.08255283,1,-1.266708444,-1.266708444,-2.266708444,4779.010399,0
3,648.3761468,-7.522125033,1000,2.65,1200,0.001618292,1.284434406,0.008279706,0.9,0.1,0.006122886,0.00215682,4.41681777,4.485939261,1.259452573,1,0,0,12.59452573,12.59452573,5.116322467,4.733348732,0,5.12441929,0.7395052,0.979295748,7495.169676,178.0887887,61.76614511,-0.240407889,0.003054096,6.46E-05,0,0,0.041901046,0.12046023,0.258072903,0,0,-0.125699152,-0.361384676,-9.022125033,881.6881438,4680.258722,13.00859487,0.008279706,0.9,0.1,0.006122886,0.00215682,1,0,0,12.07772316,1,-1.644415026,-1.644415026,-2.644415026,4779.20866,0
4,647.8348624,-7.522558644,1000,2.65,1200,0.001618292,1.283815704,0.008283023,0.9,0.1,0.006124972,0.00215805,4.410366938,4.479603148,1.259946543,1,0,0,12.59946543,12.59946543,5.118371716,4.735873092,0,5.12647473,0.739461028,0.979255043,7485.305128,177.7493372,61.65958213,-0.360867104,0.003053969,6.47E-05,0,0,0.041902375,0.120458901,0.258081089,0,0,-0.167601527,-0.481843577,-9.022558644,881.7866312,4680.258722,12.99796112,0.008283023,0.9,0.1,0.006124972,0.00215805,1,0,0,12.07288759,1,-1.833209293,-1.833209293,-2.833209293,4779.40732,0
5,647.293578,-7.522992254,1000,2.65,1200,0.001618292,1.283197563,0.008286346,0.9,0.1,0.006127064,0.002159281,4.403925208,4.473276187,1.260441503,1,0,0,12.60441503,12.60441503,5.120425115,4.738400116,0,5.128534344,0.739416923,0.97921426,7475.449879,177.4105478,61.55317792,-0.481324987,0.003053841,6.48E-05,0,0,0.041903705,0.120457572,0.258089278,0,0,-0.209505232,-0.602301149,-9.022992254,881.8851316,4680.258722,12.98732966,0.008286346,0.9,0.1,0.006127064,0.002159281,1,0,0,12.0680461,1,-1.927547075,-1.927547075,-2.927547075,4779.606378,0
6,646.7522936,-7.523425865,1000,2.65,1200,0.001618292,1.282579984,0.008289675,0.9,0.1,0.006129161,0.002160514,4.397492566,4.466958365,1.260937456,1,0,0,12.60937456,12.60937456,5.122482672,4.740929807,0,5.13059814,0.739372886,0.979173398,7465.603919,177.0724191,61.44693224,-0.601781539,0.003053714,6.50E-05,0,0,0.041905035,0.120456241,0.258097471,0,0,-0.251410267,-0.72275739,-9.023425865,881.9836451,4680.258722,12.97670049,0.008289675,0.9,0.1,0.006129161,0.002160514,1,0,0,12.06319871,1,-1.974656288,-1.974656288,-2.974656288,4779.805836,0
7,646.2110092,-7.523859476,1000,2.65,1200,0.001618292,1.281962967,0.008293012,0.9,0.1,0.006131263,0.002161748,4.391069002,4.460649667,1.261434403,1,0,0,12.61434403,12.61434403,5.124544399,4.743462169,0,5.132666129,0.739328916,0.979132457,7455.767241,176.7349498,61.34084488,-0.722236759,0.003053586,6.51E-05,0,0,0.041906366,0.120454911,0.258105667,0,0,-0.293316632,-0.843212301,-9.023859476,882.0821717,4680.258722,12.96607361,0.008293012,0.9,0.1,0.006131263,0.002161748,1,0,0,12.0583454,1,-1.998150889,-1.998150889,-2.998150889,4780.005696,0
8,645.6697248,-7.524293087,1000,2.65,1200,0.001618292,1.28134651,0.008296355,0.9,0.1,0.006133371,0.002162984,4.384654504,4.454350081,1.261932347,1,0,0,12.61932347,12.61932347,5.126610303,4.745997208,0,5.134738321,0.739285013,0.979091438,7445.939836,176.3981387,61.23491561,-0.842690646,0.003053458,6.52E-05,0,0,0.041907697,0.120453579,0.258113867,0,0,-0.335224329,-0.96366588,-9.024293087,882.1807114,4680.258722,12.95544902,0.008296355,0.9,0.1,0.006133371,0.002162984,1,0,0,12.05348616,1,-2.009837856,-2.009837856,-3.009837856,4780.205956,0
9,645.1284404,-7.524726698,1000,2.65,1200,0.001618292,1.280730614,0.008299705,0.9,0.1,0.006135484,0.002164221,4.378249058,4.448059594,1.262431291,1,0,0,12.62431291,12.62431291,5.128680397,4.748534926,0,5.136814727,0.739241179,0.979050339,7436.121695,176.0619845,61.1291442,-0.9631432,0.00305333,6.53E-05,0,0,0.041909029,0.120452248,0.258122069,0,0,-0.377133357,-1.084118128,-9.024726698,882.2792641,4680.258722,12.94482671,0.008299705,0.9,0.1,0.006135484,0.002164221,1,0,0,12.048621,1,-2.015620678,-2.015620678,-3.015620678,4780.40662,0
