,pressure,mean,std,variance
0,95.4084995905145,,,
1,95.31309568702049,,,
2,95.21769178352648,,,
3,95.12228788003247,,,
4,95.02688397653846,,,
5,94.93148007304445,,,
6,94.83607616955044,,,
7,94.74067226605644,,,
8,94.64526836256243,,,
9,94.54986445906842,,,
10,94.45446055557441,,,
11,94.3590566520804,,,
12,94.2636527485864,,,
13,94.16824884509238,,,
14,94.07284494159838,,,
15,93.97744103810437,,,
16,93.88203713461036,,,
17,93.78663323111635,,,
18,93.69122932762234,,,
19,93.59582542412834,,,
20,93.50042152063432,,,
21,93.40501761714032,,,
22,93.30961371364631,,,
23,93.2142098101523,,,
24,93.1188059066583,,,
25,93.02340200316428,,,
26,92.92799809967028,,,
27,92.83259419617626,,,
28,92.73719029268226,,,
29,92.64178638918825,,,
30,92.54638248569424,,,
31,92.45097858220024,,,
32,92.35557467870622,,,
33,92.26017077521222,,,
34,92.1647668717182,,,
35,92.0693629682242,,,
36,91.9739590647302,,,
37,91.87855516123618,,,
38,91.78315125774218,,,
39,91.68774735424816,,,
40,91.59234345075416,,,
41,91.49693954726014,,,
42,91.40153564376614,,,
43,91.30613174027212,,,
44,91.21072783677812,,,
45,91.11532393328412,,,
46,91.0199200297901,,,
47,90.9245161262961,,,
48,90.82911222280208,,,
49,90.73370831930808,,,
50,90.63830441581408,,,
51,90.54290051232006,,,
52,90.44749660882606,,,
53,90.35209270533204,,,
54,90.25668880183804,,,
55,90.16128489834402,,,
56,90.06588099485002,,,
57,89.970477091356,,,
58,89.875073187862,,,
59,89.779669284368,,,
60,89.68426538087398,,,
61,89.58886147737998,,,
62,89.49345757388596,,,
63,89.39805367039196,,,
64,89.30264976689796,,,
65,89.20724586340394,,,
66,89.11184195990994,,,
67,89.01643805641592,,,
68,88.92103415292192,,,
69,88.8256302494279,,,
70,88.7302263459339,,,
71,88.63482244243988,,,
72,88.53941853894588,,,
73,88.44401463545188,,,
74,88.34861073195786,,,
75,88.25320682846386,,,
76,88.15780292496984,,,
77,88.06239902147584,,,
78,87.96699511798184,,,
79,87.87159121448782,,,
80,87.77618731099382,,,
81,87.6807834074998,,,
82,87.5853795040058,,,
83,87.48997560051178,,,
84,87.39457169701778,,,
85,87.29916779352376,,,
86,87.20376389002976,,,
87,87.10835998653576,,,
88,87.01295608304174,,,
89,86.91755217954774,,,
90,86.82214827605372,,,
91,86.72674437255972,,,
92,86.63134046906572,,,
93,86.5359365655717,,,
94,86.4405326620777,,,
95,86.34512875858368,,,
96,86.24972485508968,,,
97,86.15432095159566,,,
98,86.05891704810166,,,
99,85.96351314460765,,,
100,85.86810924111364,,,
101,85.77270533761964,,,
102,85.67730143412562,,,
103,85.58189753063162,,,
104,85.4864936271376,,,
105,85.3910897236436,,,
106,85.2956858201496,,,
107,85.20028191665558,,,
108,85.10487801316158,,,
109,85.00947410966756,,,
110,84.91407020617356,,,
111,84.81866630267955,,,
112,84.72326239918554,,,
113,84.62785849569153,,,
114,84.53245459219752,,,
115,84.43705068870352,,,
116,84.3416467852095,,,
117,84.2462428817155,,,
118,84.15083897822149,,,
119,84.05543507472748,,,
120,83.96003117123348,,,
121,83.86462726773946,,,
122,83.76922336424546,,,
123,83.67381946075145,,,
124,83.57841555725744,,,
125,83.48301165376343,,,
126,83.38760775026942,,,
127,83.29220384677541,,,
128,83.1967999432814,,,
129,83.1013960397874,,,
130,83.00599213629339,,,
131,82.91058823279938,,,
132,82.81518432930537,,,
133,82.71978042581136,,,
134,82.62437652231735,,,
135,82.52897261882335,,,
136,82.43356871532933,,,
137,82.33816481183533,,,
138,82.24276090834132,,,
139,82.14735700484731,,,
140,82.0519531013533,,,
141,81.95654919785929,,,
142,81.86114529436529,,,
143,81.76574139087128,,,
144,81.67033748737727,,,
145,81.57493358388326,,,
146,81.47952968038925,,,
147,81.38412577689525,,,
148,81.28872187340123,,,
149,81.19331796990723,,,
150,81.09791406641321,,,
151,81.00251016291921,,,
152,80.9071062594252,,,
153,80.81170235593119,,,
154,80.71629845243719,,,
155,80.62089454894317,,,
156,80.52549064544917,,,
157,80.43008674195517,,,
158,80.33468283846115,,,
159,80.23927893496715,,,
160,80.14387503147313,,,
161,80.04847112797913,,,
162,79.95306722448511,,,
163,79.85766332099111,,,
164,79.76225941749709,,,
165,79.66685551400309,,,
166,79.57145161050909,,,
167,79.47604770701507,,,
168,79.38064380352107,,,
169,79.28523990002705,,,
170,79.18983599653305,,,
171,79.09443209303905,,,
172,78.99902818954503,,,
173,78.90362428605103,,,
174,78.80822038255701,,,
175,78.71281647906301,,,
176,78.617412575569,,,
177,78.52200867207499,,,
178,78.42660476858097,,,
179,78.33120086508697,,,
180,78.23579696159297,,,
181,78.14039305809895,,,
182,78.04498915460495,,,
183,77.94958525111093,,,
184,77.85418134761693,,,
185,77.75877744412293,,,
186,77.66337354062891,,,
187,77.56796963713491,,,
188,77.47256573364089,,,
189,77.37716183014689,,,
190,77.28175792665287,,,
191,77.18635402315887,,,
192,77.09095011966485,,,
193,76.99554621617085,,,
194,76.90014231267685,,,
195,76.80473840918283,,,
196,76.70933450568883,,,
197,76.61393060219481,,,
198,76.51852669870081,,,
199,76.42312279520681,,,
200,76.32771889171279,,,
201,76.23231498821879,,,
202,76.13691108472477,,,
203,76.04150718123077,,,
204,75.94610327773675,,,
205,75.85069937424275,,,
206,75.75529547074873,,,
207,75.65989156725473,,,
208,75.56448766376073,,,
209,75.46908376026671,,,
210,75.37367985677271,,,
211,75.2782759532787,,,
212,75.18287204978469,,,
213,75.08746814629069,,,
214,74.99206424279667,,,
215,74.89666033930266,,,
216,74.80125643580865,,,
217,74.70585253231465,,,
218,74.61044862882063,,,
219,74.51504472532663,,,
220,74.41964082183262,,,
221,74.32423691833861,,,
222,74.22883301484461,,,
223,74.1334291113506,,,
224,74.03802520785659,,,
225,73.94262130436258,,,
226,73.84721740086857,,,
227,73.75181349737457,,,
228,73.65640959388055,,,
229,73.56100569038654,,,
230,73.46560178689253,,,
231,73.37019788339853,,,
232,73.27479397990452,,,
233,73.17939007641051,,,
234,73.0839861729165,,,
235,72.9885822694225,,,
236,72.89317836592849,,,
237,72.79777446243448,,,
238,72.70237055894047,,,
239,72.60696665544646,,,
240,72.51156275195245,,,
241,72.41615884845845,,,
242,72.32075494496443,,,
243,72.22535104147042,,,
244,72.12994713797642,,,
245,72.03454323448241,,,
246,71.9391393309884,,,
247,71.8437354274944,,,
248,71.74833152400038,,,
249,71.65292762050638,,,
250,71.55752371701237,,,
251,71.46211981351836,,,
252,71.36671591002435,,,
253,71.27131200653034,,,
254,71.17590810303633,,,
255,71.08050419954233,,,
256,70.98510029604832,,,
257,70.8896963925543,,,
258,70.7942924890603,,,
259,70.6988885855663,,,
260,70.60348468207228,,,
261,70.50808077857828,,,
262,70.41267687508426,,,
263,70.31727297159026,,,
264,70.22186906809625,,,
265,70.12646516460224,,,
266,70.03106126110823,,,
267,69.93565735761422,,,
268,69.84025345412022,,,
269,69.74484955062621,,,
270,69.6494456471322,,,
271,69.55404174363818,,,
272,69.45863784014418,,,
273,69.36323393665018,,,
274,69.26783003315616,,,
275,69.17242612966216,,,
276,69.07702222616814,,,
277,68.98161832267414,,,
278,68.88621441918013,,,
279,68.79081051568612,,,
280,68.69540661219212,,,
281,68.6000027086981,,,
282,68.5045988052041,,,
283,68.4091949017101,,,
284,68.31379099821608,,,
285,68.21838709472206,,,
286,68.12298319122806,,,
287,68.02757928773406,,,
288,67.93217538424004,,,
289,67.83677148074604,,,
290,67.74136757725202,,,
291,67.64596367375802,,,
292,67.55055977026402,,,
293,67.45515586677,,,
294,67.359751963276,,,
295,67.26434805978198,,,
296,67.16894415628798,,,
297,67.07354025279398,,,
298,66.97813634929996,,,
299,66.88273244580594,,,
300,66.78732854231194,,,
301,66.69192463881794,,,
302,66.59652073532392,,,
303,66.50111683182992,,,
304,66.4057129283359,,,
305,66.3103090248419,,,
306,66.2149051213479,,,
307,66.11950121785388,,,
308,66.02409731435988,,,
309,65.92869341086586,,,
310,65.83328950737186,,,
311,65.73788560387784,,,
312,65.64248170038384,,,
313,65.54707779688982,,,
314,65.45167389339582,,,
315,65.35626998990182,,,
316,65.2608660864078,,,
317,65.1654621829138,,,
318,65.07005827941978,,,
319,64.97465437592578,,,
320,64.87925047243178,,,
321,64.78384656893776,,,
322,64.68844266544376,,,
323,64.59303876194974,,,
324,64.49763485845574,,,
325,64.40223095496172,,,
326,64.30682705146772,,,
327,64.2114231479737,,,
328,64.1160192444797,,,
329,64.0206153409857,,,
330,63.92521143749168,,,
331,63.82980753399768,,,
332,63.734403630503664,,,
333,63.63899972700966,,,
334,63.54359582351565,,,
335,63.44819192002164,,,
336,63.35278801652763,,,
337,63.25738411303362,,,
338,63.16198020953962,,,
339,63.06657630604561,,,
340,62.9711724025516,,,
341,62.87576849905759,,,
342,62.78036459556358,,,
343,62.68496069206957,,,
344,62.589556788575564,,,
345,62.49415288508156,,,
346,62.39874898158755,,,
347,62.30334507809354,,,
348,62.20794117459953,,,
349,62.11253727110552,,,
350,62.017133367611514,,,
351,61.921729464117504,,,
352,61.8263255606235,,,
353,61.73092165712949,,,
354,61.63551775363548,,,
355,61.54011385014147,,,
356,61.444709946647464,,,
357,61.349306043153454,,,
358,61.253902139659445,,,
359,61.158498236165435,,,
360,61.06309433267143,,,
361,60.96769042917742,,,
362,60.872286525683414,,,
363,60.776882622189405,,,
364,60.681478718695395,,,
365,60.586074815201385,,,
366,60.490670911707376,,,
367,60.395267008213374,,,
368,60.299863104719364,,,
369,60.204459201225355,,,
370,60.109055297731345,,,
371,60.013651394237336,,,
372,59.918247490743326,,,
373,59.82284358724932,,,
374,59.727439683755314,,,
375,59.632035780261305,,,
376,59.536631876767295,,,
377,59.441227973273286,,,
378,59.345824069779276,,,
379,59.25042016628527,,,
380,59.15501626279126,,,
381,59.059612359297255,,,
382,58.964208455803245,,,
383,58.868804552309236,,,
384,58.773400648815226,,,
385,58.67799674532122,,,
386,58.58259284182721,,,
387,58.4871889383332,,,
388,58.391785034839195,,,
389,58.296381131345186,,,
390,58.200977227851176,,,
391,58.10557332435717,,,
392,58.01016942086316,,,
393,57.91476551736915,,,
394,57.81936161387514,,,
395,57.723957710381136,,,
396,57.628553806887126,,,
397,57.53314990339312,,,
398,57.43774599989911,,,
399,57.3423420964051,,,
400,57.24693819291109,,,
401,57.15153428941708,,,
402,57.056130385923076,,,
403,56.96072648242907,,,
404,56.86532257893506,,,
405,56.76991867544105,,,
406,56.67451477194704,,,
407,56.57911086845303,,,
408,56.48370696495902,,,
409,56.38830306146502,,,
410,56.29289915797101,,,
411,56.197495254477,,,
412,56.10209135098299,,,
413,56.00668744748898,,,
414,55.91128354399497,,,
415,55.81587964050096,,,
416,55.72047573700695,,,
417,55.62507183351295,,,
418,55.52966793001894,,,
419,55.43426402652493,,,
420,55.33886012303092,,,
421,55.24345621953691,,,
422,55.1480523160429,,,
423,55.05264841254889,,,
424,54.95724450905489,,,
425,54.86184060556088,,,
426,54.76643670206687,,,
427,54.67103279857286,,,
428,54.57562889507885,,,
429,54.48022499158484,,,
430,54.38482108809083,,,
431,54.28941718459683,,,
432,54.19401328110282,,,
433,54.09860937760881,,,
434,54.0032054741148,,,
435,53.90780157062079,,,
436,53.81239766712678,,,
437,53.71699376363277,,,
438,53.62158986013877,,,
439,53.52618595664476,,,
440,53.43078205315075,,,
441,53.33537814965674,,,
442,53.23997424616273,,,
443,53.14457034266872,,,
444,53.04916643917471,,,
445,52.95376253568071,,,
446,52.8583586321867,,,
447,52.76295472869269,,,
448,52.66755082519868,,,
449,52.57214692170467,,,
450,52.47674301821066,,,
451,52.38133911471665,,,
452,52.28593521122265,,,
453,52.19053130772864,,,
454,52.09512740423463,,,
455,51.99972350074062,,,
456,51.90431959724661,,,
457,51.8089156937526,,,
458,51.71351179025859,,,
459,51.61810788676459,,,
460,51.52270398327058,,,
461,51.42730007977657,,,
462,51.33189617628256,,,
463,51.23649227278855,,,
464,51.14108836929454,,,
465,51.045684465800534,,,
466,50.95028056230653,,,
467,50.85487665881252,,,
468,50.75947275531851,,,
469,50.6640688518245,,,
470,50.56866494833049,,,
471,50.473261044836484,,,
472,50.377857141342474,,,
473,50.28245323784847,,,
474,50.18704933435446,,,
475,50.09164543086045,,,
476,49.99624152736644,,,
477,49.900837623872434,,,
478,49.805433720378424,,,
479,49.710029816884415,,,
480,49.61462591339041,,,
481,49.5192220098964,,,
482,49.42381810640239,,,
483,49.328414202908384,,,
484,49.233010299414374,,,
485,49.137606395920365,,,
486,49.042202492426355,,,
487,48.946798588932346,,,
488,48.85139468543834,,,
489,48.755990781944334,,,
490,48.660586878450324,,,
491,48.565182974956315,,,
492,48.469779071462305,,,
493,48.374375167968296,,,
494,48.278971264474286,,,
495,48.183567360980284,,,
496,48.088163457486274,,,
497,47.992759553992265,,,
498,47.897355650498255,,,
499,47.801951747004246,,,
500,47.706547843510236,,,
501,47.61114394001623,,,
502,47.515740036522224,,,
503,47.420336133028215,,,
504,47.324932229534205,,,
505,47.229528326040196,,,
506,47.134124422546186,,,
507,47.03872051905218,,,
508,46.94331661555817,,,
509,46.847912712064165,,,
510,46.752508808570155,,,
511,46.657104905076146,,,
512,46.561701001582136,,,
513,46.46629709808813,,,
514,46.37089319459412,,,
515,46.27548929110011,,,
516,46.180085387606105,,,
517,46.084681484112096,,,
518,45.98927758061809,,,
519,45.89387367712408,,,
520,45.79846977363007,,,
521,45.70306587013606,,,
522,45.60766196664205,,,
523,45.512258063148046,,,
524,45.41685415965404,,,
525,45.32145025616003,,,
526,45.22604635266602,,,
527,45.13064244917201,,,
528,45.035238545678,,,
529,44.93983464218399,,,
530,44.84443073868999,,,
531,44.74902683519598,,,
532,44.65362293170197,,,
533,44.55821902820796,,,
534,44.46281512471395,,,
535,44.36741122121994,,,
536,44.27200731772593,,,
537,44.17660341423193,,,
538,44.08119951073792,,,
539,43.98579560724391,,,
540,43.8903917037499,,,
541,43.79498780025589,,,
542,43.69958389676188,,,
543,43.60417999326787,,,
544,43.50877608977386,,,
545,43.41337218627986,,,
546,43.31796828278585,,,
547,43.22256437929184,,,
548,43.12716047579783,,,
549,43.03175657230382,,,
550,42.93635266880981,,,
551,42.8409487653158,,,
552,42.7455448618218,,,
553,42.65014095832779,,,
554,42.55473705483378,,,
555,42.45933315133977,,,
556,42.36392924784576,,,
557,42.26852534435175,,,
558,42.17312144085774,,,
559,42.07771753736374,,,
560,41.98231363386973,,,
561,41.88690973037572,,,
562,41.79150582688171,,,
563,41.6961019233877,,,
564,41.60069801989369,,,
565,41.50529411639968,,,
566,41.40989021290568,,,
567,41.31448630941167,,,
568,41.21908240591766,,,
569,41.12367850242365,,,
570,41.02827459892964,,,
571,40.93287069543563,,,
572,40.83746679194162,,,
573,40.74206288844762,,,
574,40.64665898495361,,,
575,40.5512550814596,,,
576,40.45585117796559,,,
577,40.36044727447158,,,
578,40.26504337097757,,,
579,40.16963946748356,,,
580,40.07423556398956,,,
581,39.97883166049555,,,
582,39.88342775700154,,,
583,39.78802385350753,,,
584,39.69261995001352,,,
585,39.59721604651951,,,
586,39.501812143025504,,,
587,39.4064082395315,,,
588,39.31100433603749,,,
589,39.21560043254348,,,
590,39.12019652904947,,,
591,39.02479262555546,,,
592,38.929388722061454,,,
593,38.833984818567444,,,
594,38.73858091507344,,,
595,38.64317701157943,,,
596,38.54777310808542,,,
597,38.45236920459141,,,
598,38.356965301097404,,,
599,38.261561397603394,,,
600,38.166157494109385,,,
601,38.07075359061538,,,
602,37.97534968712137,,,
603,37.87994578362736,,,
604,37.784541880133354,,,
605,37.689137976639344,,,
606,37.593734073145335,,,
607,37.498330169651325,,,
608,37.40292626615732,,,
609,37.30752236266331,,,
610,37.212118459169304,,,
611,37.116714555675294,,,
612,37.021310652181285,,,
613,36.925906748687275,,,
614,36.830502845193266,,,
615,36.735098941699256,,,
616,36.639695038205254,,,
617,36.544291134711244,,,
618,36.448887231217235,,,
619,36.353483327723225,,,
620,36.258079424229216,,,
621,36.162675520735206,,,
622,36.0672716172412,,,
623,35.971867713747194,,,
624,35.876463810253185,,,
625,35.781059906759175,,,
626,35.685656003265166,,,
627,35.590252099771156,,,
628,35.49484819627715,,,
629,35.39944429278314,,,
630,35.304040389289135,,,
631,35.208636485795125,,,
632,35.113232582301116,,,
633,35.017828678807106,,,
634,34.9224247753131,,,
635,34.82702087181909,,,
636,34.73161696832508,,,
637,34.636213064831075,,,
638,34.540809161337066,,,
639,34.445405257843056,,,
640,34.35000135434905,,,
641,34.25459745085504,,,
642,34.15919354736103,,,
643,34.06378964386702,,,
644,33.968385740373016,,,
645,33.872981836879006,,,
646,33.777577933385,,,
647,33.68217402989099,,,
648,33.58677012639698,,,
649,33.49136622290297,,,
650,33.39596231940896,,,
651,33.300558415914956,,,
652,33.20515451242095,,,
653,33.10975060892694,,,
654,33.01434670543293,,,
655,32.91894280193892,,,
656,32.82353889844491,,,
657,32.7281349949509,,,
658,32.6327310914569,,,
659,32.53732718796289,,,
660,32.44192328446888,,,
661,32.34651938097487,,,
662,32.25111547748086,,,
663,32.15571157398685,,,
664,32.06030767049284,,,
665,31.964903766998837,,,
666,31.869499863504828,,,
667,31.77409596001082,,,
668,31.67869205651681,,,
669,31.5832881530228,,,
670,31.48788424952879,,,
671,31.392480346034787,,,
672,31.29707644254077,,,
673,31.20167253904677,,,
674,31.106268635552752,,,
675,31.01086473205875,,,
676,30.915460828564747,,,
677,30.82005692507073,,,
678,30.724653021576728,,,
679,30.62924911808271,,,
680,30.53384521458871,,,
681,30.438441311094692,,,
682,30.34303740760069,,,
683,30.247633504106687,,,
684,30.15222960061267,,,
685,30.05682569711867,,,
686,29.961421793624652,,,
687,29.86601789013065,,,
688,29.770613986636633,,,
689,29.67521008314263,,,
690,29.579806179648628,,,
691,29.48440227615461,,,
692,29.38899837266061,,,
693,29.293594469166592,,,
694,29.19819056567259,,,
695,29.102786662178573,,,
696,29.00738275868457,,,
697,28.91197885519057,,,
698,28.816574951696552,,,
699,28.72117104820255,,,
700,28.625767144708533,,,
701,28.53036324121453,,,
702,28.434959337720514,,,
703,28.33955543422651,,,
704,28.24415153073251,,,
705,28.148747627238492,,,
706,28.05334372374449,,,
707,27.957939820250473,,,
708,27.86253591675647,,,
709,27.767132013262454,,,
710,27.671728109768452,,,
711,27.576324206274435,,,
712,27.480920302780433,,,
713,27.38551639928643,,,
714,27.290112495792414,,,
715,27.19470859229841,,,
716,27.099304688804395,,,
717,27.003900785310393,,,
718,26.908496881816376,,,
719,26.813092978322373,,,
720,26.71768907482837,,,
721,26.622285171334354,,,
722,26.526881267840352,,,
723,26.431477364346335,,,
724,26.336073460852333,,,
725,26.240669557358316,,,
726,26.145265653864314,,,
727,26.04986175037031,,,
728,25.954457846876295,,,
729,25.859053943382293,,,
730,25.763650039888276,,,
731,25.668246136394274,,,
732,25.572842232900257,,,
733,25.477438329406255,,,
734,25.382034425912252,,,
735,25.286630522418236,,,
736,25.191226618924233,,,
737,25.095822715430216,,,
738,25.000418811936214,,,
739,24.905014908442197,,,
740,24.809611004948195,,,
741,24.714207101454193,,,
742,24.618803197960176,,,
743,24.523399294466174,,,
744,24.427995390972157,,,
745,24.332591487478155,,,
746,24.237187583984138,,,
747,24.141783680490136,,,
748,24.046379776996133,,,
749,23.950975873502117,,,
750,23.855571970008114,,,
751,23.760168066514098,,,
752,23.664764163020095,,,
753,23.56936025952608,,,
754,23.473956356032076,,,
755,23.378552452538074,,,
756,23.283148549044057,,,
757,23.187744645550055,,,
758,23.092340742056038,,,
759,22.996936838562036,,,
760,22.90153293506802,,,
761,22.806129031574017,,,
762,22.710725128080014,,,
763,22.615321224585998,,,
764,22.519917321091995,,,
765,22.42451341759798,,,
766,22.329109514103976,,,
767,22.23370561060996,,,
768,22.138301707115957,,,
769,22.042897803621955,,,
770,21.947493900127938,,,
771,21.852089996633936,,,
772,21.75668609313992,,,
773,21.661282189645917,,,
774,21.5658782861519,,,
775,21.470474382657898,,,
776,21.375070479163895,,,
777,21.27966657566988,,,
778,21.184262672175876,,,
779,21.08885876868186,,,
780,20.993454865187857,,,
781,20.89805096169384,,,
782,20.802647058199838,,,
783,20.707243154705836,,,
784,20.61183925121182,,,
785,20.516435347717817,,,
786,20.4210314442238,,,
787,20.325627540729798,,,
788,20.23022363723578,,,
789,20.13481973374178,,,
790,20.039415830247776,,,
791,19.94401192675376,,,
792,19.848608023259757,,,
793,19.75320411976574,,,
794,19.65780021627174,,,
795,19.56239631277772,,,
796,19.46699240928372,,,
797,19.371588505789717,,,
798,19.2761846022957,,,
799,19.180780698801698,,,
800,19.08537679530768,,,
801,18.98997289181368,,,
802,18.894568988319662,,,
803,18.79916508482566,,,
804,18.703761181331657,,,
805,18.60835727783764,,,
806,18.51295337434364,,,
807,18.41754947084962,,,
808,18.32214556735562,,,
809,18.226741663861603,,,
810,18.1313377603676,,,
811,18.035933856873598,,,
812,17.94052995337958,,,
813,17.84512604988558,,,
814,17.749722146391562,,,
815,17.65431824289756,,,
816,17.558914339403543,,,
817,17.46351043590954,,,
818,17.36810653241554,,,
819,17.27270262892152,,,
820,17.17729872542752,,,
821,17.081894821933503,,,
822,16.9864909184395,,,
823,16.891087014945484,,,
824,16.79568311145148,,,
825,16.70027920795748,,,
826,16.604875304463462,,,
827,16.50947140096946,,,
828,16.414067497475443,,,
829,16.31866359398144,,,
830,16.223259690487424,,,
831,16.127855786993422,,,
832,16.032451883499405,,,
833,15.937047980005403,,,
834,15.8416440765114,,,
835,15.746240173017384,,,
836,15.650836269523381,,,
837,15.555432366029365,,,
838,15.460028462535362,,,
839,15.364624559041346,,,
840,15.269220655547343,,,
841,15.173816752053341,,,
842,15.078412848559324,,,
843,14.983008945065322,,,
844,14.887605041571305,,,
845,14.792201138077303,,,
846,14.696797234583286,,,
847,14.601393331089284,,,
848,14.505989427595281,,,
849,14.410585524101265,,,
850,14.315181620607262,,,
851,14.219777717113246,,,
852,14.124373813619243,,,
853,14.028969910125227,,,
854,13.933566006631224,,,
855,13.838162103137222,,,
856,13.742758199643205,,,
857,13.647354296149203,,,
858,13.551950392655186,,,
859,13.456546489161184,,,
860,13.361142585667167,,,
