,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac,dFMQ
922,130.6952289,-6.555038295,1547.75009,0.643243435,702.5872063,0.002544847,0.980956459,0.188836595,0.075379278,0.73563242,0.188674646,0.000161948,1.135346265,1.246994282,13.2166339,0.992777989,0.007222011,0,85.29602963,85.29602963,74.12045677,1.509175391,0,74.15070465,0.999142389,0.999583601,96.6410057,307.4947746,0.24030597,0.055998278,0.004790059,2.00E-06,0.002974234,2.55E-06,0.028232362,0.050009896,0.360832661,5.662128713,0,0,0,-8.798390892,1052.694906,4134.342106,0.119221227,0.188836595,0.075379278,0.73563242,0.188674646,0.000161948,0.992777989,0.007222011,0,3.895603082,1.847267961,-0.391731695,-0.391731695,-2.238999656,4136.064361,0,2.243352597
923,130.2270151,-6.554215957,1545.99177,0.643154415,699.4283104,0.002541984,0.98093568,0.188971347,0.075622183,0.735253003,0.188809789,0.000161557,1.13396113,1.245596683,13.22712948,0.992770377,0.007229623,0,85.46036959,85.46036959,74.25647264,1.515277565,0,74.28666289,0.99914507,0.999585136,96.60304717,306.2689977,0.23857544,0.055998278,0.004784588,1.99E-06,0.002979741,2.55E-06,0.028242717,0.049998941,0.360967773,5.662128713,0,0,0,-8.79875279,1052.932192,4134.287838,0.119061624,0.188971347,0.075622183,0.735253003,0.188809789,0.000161557,0.992770377,0.007229623,0,3.890817394,1.848849616,-0.390151568,-0.390151568,-2.239001184,4136.003719,0,2.244536834
924,129.7588013,-6.5533887,1544.22664,0.643064712,696.2724668,0.00253911,0.980915538,0.189106508,0.075866703,0.734871548,0.188945343,0.000161164,1.132578096,1.244200913,13.23766529,0.992762748,0.007237252,0,85.62571642,85.62571642,74.39327855,1.521421464,0,74.42341082,0.999147758,0.999586674,96.56497913,305.0447349,0.236850426,0.055998278,0.004779096,1.98E-06,0.00298527,2.55E-06,0.028253113,0.049987943,0.361103421,5.662128713,0,0,0,-8.799114688,1053.170119,4134.233153,0.118901409,0.189106508,0.075866703,0.734871548,0.188945343,0.000161164,0.992762748,0.007237252,0,3.88601935,1.850437397,-0.388565316,-0.388565316,-2.239002713,4135.942645,0,2.245725989
925,129.2905875,-6.552556487,1542.454649,0.642974319,693.1196782,0.002536224,0.980896032,0.189242078,0.076112856,0.73448804,0.189081309,0.00016077,1.131197166,1.24280697,13.24824153,0.992755101,0.007244899,0,85.79207988,85.79207988,74.53088173,1.527607499,0,74.56095568,0.999150454,0.999588216,96.52679973,303.821979,0.235130931,0.055998278,0.004773582,1.97E-06,0.002990819,2.54E-06,0.028263551,0.049976903,0.361239611,5.662128713,0,0,0,-8.799476586,1053.408694,4134.178048,0.118740576,0.189242078,0.076112856,0.73448804,0.189081309,0.00016077,0.992755101,0.007244899,0,3.881208904,1.852031349,-0.386972893,-0.386972893,-2.239004242,4135.881136,0,2.2469201
926,128.8223736,-6.55171928,1540.675744,0.642883226,689.9699476,0.002533327,0.980877164,0.189378059,0.076360659,0.73410246,0.189217686,0.000160373,1.129818337,1.241414853,13.2588584,0.992747437,0.007252563,0,85.9594699,85.9594699,74.6692895,1.533836085,0,74.69930476,0.999153157,0.999589762,96.4885069,302.600723,0.233416957,0.055998278,0.004768048,1.96E-06,0.002996391,2.54E-06,0.028274031,0.049965819,0.361376345,5.662128713,0,0,0,-8.799838484,1053.64792,4134.122516,0.11857912,0.189378059,0.076360659,0.73410246,0.189217686,0.000160373,0.992747437,0.007252563,0,3.876386012,1.853631522,-0.385374251,-0.385374251,-2.239005772,4135.819186,0,2.248119205
927,128.3541598,-6.550877039,1538.88987,0.642791428,686.823278,0.002530419,0.980858932,0.189514451,0.076610126,0.733714793,0.189354476,0.000159975,1.128441612,1.240024562,13.26951611,0.992739754,0.007260246,0,86.12789654,86.12789654,74.80850926,1.540107643,0,74.83846548,0.999155868,0.999591311,96.45009855,301.3809597,0.231708509,0.055998278,0.004762491,1.95E-06,0.003001985,2.54E-06,0.028284553,0.049954691,0.36151363,5.662128713,0,0,0,-8.800200382,1053.887803,4134.066553,0.118417038,0.189514451,0.076610126,0.733714793,0.189354476,0.000159975,0.992739754,0.007260246,0,3.871550626,1.855237962,-0.383769341,-0.383769341,-2.239007303,4135.756791,0,2.249323343
928,127.885946,-6.550029727,1537.096974,0.642698915,683.6796721,0.0025275,0.980841337,0.189651255,0.076861275,0.733325019,0.189491679,0.000159575,1.12706699,1.238636096,13.28021485,0.992732052,0.007267948,0,86.29736998,86.29736998,74.94854852,1.5464226,0,74.97844536,0.999158585,0.999592864,96.41157276,300.1626821,0.23000559,0.055998278,0.004756913,1.94E-06,0.0030076,2.53E-06,0.028295118,0.049943519,0.361651468,5.662128713,0,0,0,-8.80056228,1054.128348,4134.010155,0.118254324,0.189651255,0.076861275,0.733325019,0.189491679,0.000159575,0.992732052,0.007267948,0,3.8667027,1.85685072,-0.382158114,-0.382158114,-2.239008834,4135.693946,0,2.250532554
929,127.4177322,-6.549177302,1535.297002,0.64260568,680.5391332,0.002524568,0.980824381,0.189788471,0.077114124,0.732933122,0.189629297,0.000159174,1.125694471,1.237249454,13.29095483,0.992724332,0.007275668,0,86.46790056,86.46790056,75.08941489,1.55278139,0,75.11925199,0.99916131,0.99959442,96.37292746,298.9458829,0.228308204,0.055998278,0.004751313,1.93E-06,0.003013238,2.53E-06,0.028305726,0.049932303,0.361789864,5.662128713,0,0,0,-8.800924178,1054.36956,4133.953317,0.118090973,0.189788471,0.077114124,0.732933122,0.189629297,0.000159174,0.992724332,0.007275668,0,3.861842186,1.858469843,-0.380540522,-0.380540522,-2.239010366,4135.630647,0,2.251746877
930,126.9495183,-6.548319725,1533.489896,0.642511714,677.4016642,0.002521625,0.980808062,0.189926099,0.077368688,0.732539084,0.189767329,0.00015877,1.124324056,1.235864635,13.30173626,0.992716594,0.007283406,0,86.63949875,86.63949875,75.23111608,1.559184451,0,75.26089308,0.999164043,0.999595979,96.33416053,297.730555,0.226616354,0.055998278,0.004745691,1.92E-06,0.003018898,2.53E-06,0.028316377,0.049921042,0.361928823,5.662128713,0,0,0,-8.801286077,1054.611445,4133.896033,0.117926981,0.189926099,0.077368688,0.732539084,0.189767329,0.00015877,0.992716594,0.007283406,0,3.856969038,1.860095382,-0.378916515,-0.378916515,-2.239011897,4135.566887,0,2.252966351
931,126.4813045,-6.547456956,1531.675603,0.64241701,674.2672682,0.002518671,0.980792382,0.190064141,0.077624986,0.732142886,0.189905776,0.000158365,1.122955744,1.234481637,13.31255935,0.992708836,0.007291164,0,86.81217518,86.81217518,75.37365989,1.565632225,0,75.40337644,0.999166783,0.999597543,96.29526984,296.5166912,0.224930045,0.055998278,0.004740047,1.91E-06,0.00302458,2.52E-06,0.028327072,0.049909736,0.362068349,5.662128713,0,0,0,-8.801647975,1054.854007,4133.838299,0.117762341,0.190064141,0.077624986,0.732142886,0.189905776,0.000158365,0.992708836,0.007291164,0,3.852083207,1.861727388,-0.377286042,-0.377286042,-2.239013429,4135.502663,0,2.254191018
