,P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
0,566.64057983,0.1999999999999993,3.223054774609455e-09,0.09768826095932424,2710.7690754616406,2710.7694438748113,1.3591723141467626e-05,1e-06,0.04203974175414513,0.06263468107354477,0.0007932469244620885,5.085155080892355e-12,0.8964885130421859,0.028833606966676136,8.670327231915831e-10,0.008072480394743117,0.0024229487150336103,0.0007545220112366221,0.0,0.026840824186065586,3.804740542507362e-05,3.870596098188786e-12,0.9384931868864279,0.01921116022121289,3.308624620756503e-10,0.012301544870021774,0.0019642419519637667,0.0011509941441501259,0.0,35.169884075390335,0.48232367833942735,591.7858412204348,18.797527723603775,5.69743552706825e-07,4.848721165885169,1.6859057589519058,0.4736846477158216,0.0,31.091792091023663,14.31297322308613,111.0549012452218,0.30014922261210564,0.5,4.932416269656958e-06,0.0402924370665339,0.0,0.0,0.0,0.08575964356563874,0.030594579857089264,0.116354223422728,0.0,559.5409869969403,109.86738520776804,4733.477176871661,38417.54040545468,1163.5423257919329,0.0
1,566.0,0.20005177788267403,3.2230750098236508e-09,0.09769125722779437,2679.065050887014,2679.079811498659,0.0005966017088297318,4.436196628215713e-05,0.04203807512542617,0.06270529934565465,0.000794138787944921,5.090942251098328e-12,0.8964077061354191,0.028830917483904452,8.669362318212949e-10,0.008081143610202988,0.00242551570328657,0.0007552780615601738,0.0,0.026872151539415502,3.809169300055827e-05,3.875154664394108e-12,0.9384457976598849,0.019210129850295455,3.3083875647249037e-10,0.012315234854846932,0.0019664009204795195,0.0011521931473631648,0.0,35.16973288598676,0.48232009084527405,591.0635534200173,18.7745259866314,5.690361303871837e-07,4.848437412066783,1.6857839746919818,0.4736232608965855,0.0,31.091889692232655,14.295565374691705,110.92584779753747,0.30014510572788156,0.49999877526178893,4.9247467125188726e-06,0.04025043546708674,0.0,0.0,0.0,0.0857538172136385,0.030600008724447344,0.11635382593808584,0.0,559.5409871011527,109.86738520776801,4733.474557985998,38417.54040545468,1163.5423258417568,0.0
2,556.0,0.19985334010913114,3.215927450090431e-09,0.0976936494290848,2678.668751321487,2678.9477151716433,0.011259237972837935,0.0008220145529368169,0.04201112662785107,0.06382332155552951,0.0008103218903136711,5.181717899012264e-12,0.8950916193855922,0.028813721827996092,8.693028015311485e-10,0.00821785830111202,0.002474715275790251,0.0007684408891816942,0.0,0.02736882108728426,3.8892864599952864e-05,3.946781912699087e-12,0.9376690840096426,0.019210987530129855,3.319546823178542e-10,0.012531614191031033,0.00200757468599905,0.001173025295411907,0.0,35.166887060922996,0.4828167124482332,578.1429512828389,18.384512603203586,5.589834516149928e-07,4.831767623182471,1.6854554539880908,0.4724652322563273,0.0,31.064769234910155,14.024522659899757,108.9203033915139,0.3011387134109356,0.4999757216978179,4.997577866534432e-06,0.039497816156288584,0.0,0.0,0.0,0.08574404389836278,0.030602515597064728,0.1163465594954275,0.0,559.5409863892612,109.86738520776807,4733.422422256483,38417.54040003284,1163.5423252871371,0.0
3,546.0,0.19964760062388187,3.2087417925100524e-09,0.09769572498723322,2678.2636595024046,2678.81544337618,0.022238826909382673,0.0015935911669356698,0.04198316966596285,0.06498233824934962,0.0008270435599561717,5.275080596751583e-12,0.8937294403826181,0.028795663001570777,8.716626078417534e-10,0.008358179297969153,0.0025253425402610536,0.0007819920913373554,0.0,0.02788438862361192,3.972188492589316e-05,4.020569441096376e-12,0.9368655611157218,0.019211731907279272,3.330774569324226e-10,0.01275408053202207,0.002050009486141982,0.0011945061131990275,0.0,35.16403132671225,0.48331776898503975,565.3860925701646,17.998973724427007,5.490112506453344e-07,4.815057773629571,1.6851349312240587,0.47130682084467257,0.0,31.036946096148785,13.75342076724306,106.9287231729731,0.30214026885911077,0.4999525870546855,5.004464132849404e-06,0.038752321722750546,0.0,0.0,0.0,0.08573470007252214,0.03060438190004572,0.11633908197256787,0.0,559.5409864942064,109.86738520776801,4733.3771933057915,38417.54040083624,1163.5423253735999,0.0
4,536.0,0.19944030564047566,3.201560723594541e-09,0.09769773724171332,2677.8473332149424,2678.683210270835,0.03364092648234067,0.002365227431290012,0.04195419355122702,0.06618417470769035,0.0008443925623060671,5.371915385949022e-12,0.8923178713878978,0.02877602661178757,8.739796152241776e-10,0.008503656381326526,0.0025778319867887298,0.0007960454828514682,0.0,0.02841972012814647,4.0583146010302875e-05,4.0972029611776e-12,0.9360318966182858,0.019211890749721194,3.341934808045858e-10,0.012985031901920404,0.002094064387023328,0.001216812730601792,0.0,35.161065475326055,0.48381869353698687,552.692474571998,17.614595984704867,5.390045932643565e-07,4.798374770813535,1.6848073693169128,0.47014855418607127,0.0,31.009071663228728,13.482344915969978,104.93343467492049,0.30314395022469165,0.49992855948356363,5.011351584385486e-06,0.03800808127399645,0.0,0.0,0.0,0.08572526504188879,0.030606056629274687,0.11633132167116347,0.0,559.5409865562726,109.86738520776804,4733.333343815976,38417.540401311744,1163.5423254246496,0.0
5,526.0,0.19923136958714593,3.1943836550478103e-09,0.09769968241553695,2677.419070882908,2678.551020737857,0.04549213009434398,0.0031370435369791894,0.04192414046988624,0.06743125996212801,0.0008624045952140605,5.47241922707011e-12,0.8908541176323898,0.028754720315197886,8.762504495965135e-10,0.00865457937231452,0.002632287802282847,0.0008106294387500895,0.0,0.028975979360700337,4.147855164827307e-05,4.1768500534662514e-12,0.9351663230425447,0.019211427651790562,3.3530199260135744e-10,0.013224963846076613,0.0021398336068333672,0.001239993600927468,0.0,35.15798260888064,0.4843194369244962,540.0619121175341,17.231378381072943,5.289634222078348e-07,4.781716984588842,1.6844723212728054,0.46899028635193085,0.0,30.981143543293026,13.211292776269163,102.93442110915045,0.30414970954029,0.4999035830015463,5.018239166281272e-06,0.03726505656127313,0.0,0.0,0.0,0.08571573276623934,0.030607528129317847,0.1163232608955572,0.0,559.5409866128705,109.86738520776804,4733.290956350186,38417.5404017451,1163.5423254711095,0.0
6,516.0,0.19902069954600243,3.1872099501732437e-09,0.09770155640763299,2676.978111456425,2678.418880027032,0.057821281829758674,0.003909168114075809,0.04189294814930155,0.06872621020799981,0.0008811181156164177,5.576804255893672e-12,0.8893351692567208,0.028731644688435615,8.784714717107412e-10,0.008811260226191895,0.0026888221101952665,0.00082577451079191,0.0,0.029554423236661537,4.2410158435186807e-05,4.259691712015871e-12,0.934266931797594,0.01921030331929427,3.36402168085526e-10,0.01347441127482749,0.002187418831263119,0.0012641010412624326,0.0,35.15477524058617,0.4848199456995927,527.494221706862,16.84931995460444,5.188876817028343e-07,4.765082659280829,1.684129302254055,0.4678318595255406,0.0,30.953159100379487,12.940262042169193,100.93166544022039,0.30515749633663225,0.49987759684193184,5.025126156477073e-06,0.03652320784323409,0.0,0.0,0.0,0.08570609670372639,0.030608783754346114,0.1163148804580725,0.0,559.5409866643774,109.86738520776804,4733.25012024973,38417.54040213927,1163.542325513297,0.0
7,506.0,0.1988081944110931,3.180038918307569e-09,0.09770335475572035,2676.523628005769,2678.2867937909505,0.07065971864346962,0.004681739080900541,0.04186054941963076,0.0700718471834145,0.0009005746114462577,5.685299272199717e-12,0.887757780215264,0.02870669253643194,8.806387515921125e-10,0.00897403518461801,0.0027475557424065902,0.0008415136400946551,0.0,0.03015641133784141,4.338019141403452e-05,4.345923712743974e-12,0.9333316588066963,0.019208475277145677,3.3749311388137725e-10,0.01373395245000591,0.0022369299698287593,0.0012891916252289423,0.0,35.15143523635154,0.48532016178215276,514.9892215952905,16.468419794321917,5.087773178422174e-07,4.748469899756734,1.6837777858860048,0.46667310274714136,0.0,30.925115426954953,12.669250432224796,98.92515038685491,0.30616725763634756,0.4998505349792704,5.032011769741027e-06,0.035782493784397636,0.0,0.0,0.0,0.08569634976381905,0.030609809758780696,0.11630615952259973,0.0,559.5409867110958,109.86738520776804,4733.210932725243,38417.54040249662,1163.5423255514597,0.0
8,496.0,0.19859362093787603,3.172868909931569e-09,0.09770506717071388,2676.0547959179275,2678.1547621400127,0.08403829170758423,0.0054546998060934875,0.04182692144698643,0.07147122357962579,0.0009208190988822111,5.798149764977355e-12,0.8861235668530968,0.028679917962105294,8.827537618136327e-10,0.009143266283496947,0.002803322622111139,0.0008578827121299312,0.0,0.03078338209426907,4.439101819481065e-05,4.4357516231433e-12,0.9323625494371904,0.019205988447620833,3.3857565256970455e-10,0.01400419543845951,0.0022841676743182485,0.001315325546935664,0.0,35.14795612084432,0.4858201236320422,502.5496368576232,16.08877232026235,4.986355110619572e-07,4.731876189739194,1.6834178630765044,0.4655140024960937,0.0,30.89700493648307,12.398326521804545,96.91542818265036,0.3065996915315668,0.49982234481295823,5.038896500666024e-06,0.035043044335214456,0.0,0.0,0.0,0.08568651221788494,0.030610587569905427,0.11629709978779038,0.0,559.5409867527305,109.86738520776801,4733.173617952519,38417.54040281472,1163.542325585637,0.0
9,486.0,0.19837673503179154,3.165698211678731e-09,0.09770668288457819,2675.570683702538,2678.022788201693,0.09799206984764841,0.006228095343666321,0.04179201314712604,0.07292764127818732,0.000941900284621246,5.915621284343935e-12,0.8844315670048779,0.028651292006725608,8.848154147042024e-10,0.009319344915146808,0.0028533330794269065,0.0008749205402831732,0.0,0.031436912903451526,4.544523201656028e-05,4.529400909381223e-12,0.9313595617199374,0.01920284508459419,3.3964985702940004e-10,0.01428580735446191,0.0023268585300650004,0.0013425688312939856,0.0,35.14433041617768,0.4863198620188191,490.1766597337538,15.71042303642477,4.88463931858418e-07,4.715298862097985,1.6830495727271464,0.46435453179325586,0.0,30.868819695714468,12.127521903953468,94.90276141270445,0.3061731382845763,0.49979296560392106,5.045780752791367e-06,0.03430489841472728,0.0,0.0,0.0,0.08567660413246542,0.03061109734974198,0.1162877014822074,0.0,559.5409867911618,109.86738520776807,4733.138410557232,38417.540403108076,1163.5423256173713,0.0
