,number,T_C,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
100,12,1246.7579999999998,MI,LL8_624,Fissure 8 (Mid July),2.27,11.59,0.26,10.45,0.35,2.23,49.42,11.58,11.33,0.17,0.5,418.0,677.746711,0.87,46.48,39.9,12.19,0.05,0.23,0.15,0.37
101,5,1270.8779999999997,MI,LL8_626,Fissure 8 (Mid July),2.18,11.61,0.21,9.79,0.33,2.03,49.22,12.78,11.33,0.17,0.5,493.0,553.6826164,0.88,47.43,40.65,11.3,0.04,0.23,0.15,0.4
102,13,1281.33,MI,LL8_630,Fissure 8 (Mid July),2.18,10.87,0.28,9.48,0.34,1.87,49.79,13.3,11.34,0.2,0.5,762.0,555.8628746,0.89,47.85,40.17,11.08,0.05,0.23,0.15,0.4
103,14,1220.226,MI,LL8_631a,Fissure 8 (Mid July),2.09,12.09,0.3,10.97,0.47,2.56,49.38,10.26,11.33,0.19,0.5,285.0,921.6336344,0.86,45.63,40.08,13.62,0.03,0.26,0.17,0.32
104,96,1168.167,MI,LL8_634,Fissure 8 (Mid July),2.6,12.56,0.28,9.75,0.56,3.42,51.24,7.67,11.34,0.21,0.5,242.0,1193.063314,0.81,42.54,39.4,17.54,0.03,0.26,0.22,0.22
105,110,1036.9139999999998,MG,LLE_LL2_g1,Fissure 17 (May 14th),3.83,12.62,0.62,3.78,2.45,1.61,65.06,1.14,8.1,0.12,0.17,9.35,0.0,,,,,,,,
106,111,1034.301,MG,LLE_LL2_g2,Fissure 17 (May 14th),3.9,13.28,0.49,4.27,2.28,1.53,64.29,1.01,8.5,0.12,0.18,67.67,0.0,,,,,,,,
107,112,1033.6979999999999,MG,LLE_LL2_g3,Fissure 17 (May 14th),4.1,13.06,0.49,3.42,2.5,1.53,65.01,0.98,7.82,0.17,0.13,35.17,0.0,,,,,,,,
108,105,1131.585,MG,LLE_LL4_G1,Fissure 8 (May 30th),2.47,12.89,0.27,9.97,0.53,2.88,50.1,5.85,11.29,0.18,0.08,18.43,0.0,,,,,,,,
109,104,1131.585,MG,LLE_LL4_G2,Fissure 8 (May 30th),2.51,13.04,0.27,10.25,0.52,2.88,50.62,5.85,11.83,0.18,0.1,28.3,0.0,,,,,,,,
110,115,1085.958,MG,LLf_LL1_g1a,Fissure 13 Reactivated (May 15th),3.02,12.57,0.49,7.73,1.17,3.35,53.92,3.58,12.09,0.24,0.13,2.1,0.0,,,,,,,,
111,116,1082.7419999999997,MG,LLf_LL1_g2,Fissure 13 Reactivated (May 15th),2.88,12.48,0.45,7.6,1.25,3.56,53.86,3.42,12.4,0.18,0.13,0.01,0.0,,,,,,,,
112,117,1102.44,MG,LLf_LL3_G2,Fissure 8 (May 7th),3.02,12.17,0.52,8.27,1.0,4.21,51.57,4.4,13.25,0.22,0.12,2.68,0.0,,,,,,,,
113,113,1090.9829999999997,MG,LLf_LL6_G1,Fissure 5 (May 4th),3.22,12.07,0.67,7.99,1.17,4.44,51.57,3.83,14.01,0.19,0.11,0.01,0.0,,,,,,,,
114,114,1091.1839999999997,MG,LLf_LL6_G2,Fissure 5 (May 4th),2.86,11.66,0.61,8.04,1.26,4.4,51.88,3.84,13.81,0.23,0.11,1.05,0.0,,,,,,,,
115,108,1141.2329999999997,MG,LLf_LL7_G1,Fissure 8 (Aug 1st),2.41,13.48,0.28,10.54,0.51,2.63,50.74,6.33,11.34,0.18,0.09,4.46,0.0,,,,,,,,
116,107,1144.449,MG,LLf_LL8_g1,Fissure 8 (Mid July),2.37,13.1,0.23,10.73,0.48,2.57,50.25,6.49,10.92,0.19,0.1,1.08,0.0,,,,,,,,
117,106,1148.268,MG,LLf_LL8_g2,Fissure 8 (Mid July),2.29,13.03,0.21,10.68,0.45,2.58,50.15,6.68,11.24,0.21,0.09,0.01,0.0,,,,,,,,
