,number,T_C,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
23,74,1153.6949999999997,MI,LL4_30,Fissure 8 (May 30th),2.55,13.61,0.34,10.58,0.47,2.72,50.79,6.95,11.34,0.18,0.5,276.0,0.0,0.79,40.98,39.15,18.88,0.03,0.26,0.26,0.19
24,64,1162.9409999999998,MI,LL4_31a,Fissure 8 (May 30th),2.44,13.33,0.31,10.47,0.41,2.37,51.29,7.41,11.33,0.18,0.5,119.0,0.0,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19
25,63,1163.5439999999999,MI,LL4_31b,Fissure 8 (May 30th),2.41,13.19,0.27,10.44,0.41,2.45,51.37,7.44,11.37,0.19,0.5,116.0,0.0,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19
26,66,1157.9159999999997,MI,LL4_32a,Fissure 8 (May 30th),2.42,13.18,0.27,10.57,0.4,2.48,51.57,7.16,11.34,0.19,0.5,115.0,0.0,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17
27,65,1155.906,MI,LL4_32b,Fissure 8 (May 30th),2.58,13.17,0.31,10.3,0.54,2.76,51.26,7.06,11.34,0.23,0.5,221.0,0.0,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17
28,73,1152.288,MI,LL4_33b,Fissure 8 (May 30th),2.39,13.48,0.34,10.22,0.49,2.7,51.35,6.88,11.39,0.29,0.5,243.0,0.0,0.79,40.54,39.11,19.3,0.03,0.25,0.27,0.18
29,75,1166.9609999999998,MI,LL4_34a,Fissure 8 (May 30th),2.58,13.22,0.29,9.69,0.5,2.87,51.31,7.61,11.36,0.11,0.5,303.0,0.0,0.81,42.14,39.76,17.74,0.04,0.22,0.25,0.24
30,76,1160.73,MI,LL4_34b,Fissure 8 (May 30th),2.56,13.22,0.35,9.77,0.52,2.9,51.21,7.3,11.44,0.25,0.5,295.0,0.0,0.8,41.5,39.48,18.44,0.04,0.23,0.27,0.2
31,54,1152.087,MI,LL4_39a,Fissure 8 (May 30th),2.65,13.73,0.3,10.37,0.35,2.1,51.55,6.87,11.49,0.16,0.5,129.0,1065.203614,0.79,40.67,38.52,19.52,0.04,0.26,0.26,0.19
32,101,1150.6799999999998,MI,LL4_39b,Fissure 8 (May 30th),2.72,13.57,0.26,10.5,0.38,2.15,51.58,6.8,11.41,0.16,0.5,256.0,1018.408698,0.79,40.66,38.57,19.45,0.04,0.27,0.25,0.18
