,Pressure_bars,H2O_liq,CO2_liq,H2O_fl,CO2_fl,FluidProportion_wt
0,972.307482365882,0.5000000000006101,0.04029243706653433,0.0356549232218791,0.9643450767781209,0.0
1,963.5844075422232,0.49999679687087967,0.03988890086014754,0.03596788366693979,0.9640321163330602,0.00040673933550663954
2,954.8613327185644,0.49999348686276723,0.03948593140193546,0.036286550509717276,0.9637134494902827,0.0008130188018311557
3,946.1382578949056,0.4999900670205615,0.03908352809653828,0.03661108119350439,0.9633889188064956,0.0012188419494340921
4,937.4151830712467,0.4999865342745689,0.03868169034974863,0.03694163900676031,0.9630583609932397,0.001624212442216312
5,928.692108247588,0.49998288543557473,0.038280417568538415,0.037278393356881316,0.9627216066431187,0.0020291340624207024
6,919.9690334239291,0.4999791171889763,0.0378797091610873,0.037621520059502825,0.9623784799404972,0.00243361071647024
7,911.2459586002703,0.4999752260885659,0.037479564536813746,0.03797120164436964,0.9620287983556304,0.002837646441154175
8,902.5228837766115,0.4999712085499465,0.03707998310640595,0.038327627678893264,0.9616723723211067,0.0032412454101814203
9,893.7998089529526,0.4999670608435399,0.03668096428185703,0.03869099511059936,0.9613090048894006,0.0036444119411368978
10,885.0767341292939,0.4999627790871706,0.03628250747650108,0.039061508629765755,0.9609384913702342,0.004047150502862196
11,876.353659305635,0.4999583592381935,0.035884612105051256,0.03943938105365327,0.9605606189463467,0.004449465723289109
12,867.6305844819763,0.4999537970851184,0.03548727758364096,0.0398248337338429,0.9601751662661571,0.004851362397774499
13,858.9075096583174,0.49994908823872053,0.03509050332986777,0.040218096988319484,0.9597819030116805,0.005252845497945552
14,850.1844348346585,0.4999442281225663,0.03469428876283939,0.040619410560069756,0.9593805894399302,0.005653920181128175
15,841.4613600109997,0.49993921196293983,0.03429863330322346,0.04102902410411623,0.9589709758958838,0.006054591800370553
16,832.7382851873409,0.4999340347781058,0.03390353637329995,0.04144719770506211,0.9585528022949379,0.006454865915128123
17,824.0152103636822,0.4999286913668621,0.0335089973970182,0.04187420242740207,0.958125797572598,0.00685474830265357
18,815.2921355400233,0.4999231762963354,0.033115015800055436,0.042310320901044425,0.9576896790989555,0.007254244970142987
19,806.5690607163644,0.4999174838889444,0.03272159100988232,0.04275584794470028,0.9572441520552997,0.007653362167707116
20,797.8459858927056,0.49991160820847796,0.03232872245583066,0.04321109123002797,0.956788908769972,0.008052106402225222
21,789.1229110690468,0.499905543045212,0.03193640956916712,0.04367637198967571,0.9563236280103243,0.008450484452154718
22,780.399836245388,0.49989928189998545,0.031544651783171285,0.044152025772643655,0.9558479742273563,0.008848503383377115
23,771.6767614217292,0.4998928179671489,0.031153448533219903,0.04463840325069641,0.9553615967493035,0.00924617056616504
24,762.9536865980704,0.4998861441162968,0.030762799256876663,0.0451358710798962,0.9548641289201037,0.009643493693360403
25,754.2306117744115,0.4998792528726786,0.030372703393989564,0.04564481282170301,0.954355187178297,0.010040480799865692
26,745.5075369507528,0.4998721363961683,0.029983160386793214,0.04616562992850028,0.9538343700714997,0.010437140283572347
27,736.7844621270939,0.4998647864586814,0.02959416968002164,0.04669874279886581,0.9533012572011342,0.010833480927830832
28,728.0613873034351,0.4998571944198899,0.029205730721027647,0.047244591908412965,0.952755408091587,0.011229511925616296
29,719.3383124797763,0.4998493512010968,0.028817842959911355,0.04780363902259254,0.9521963609774075,0.01162524290552569
30,710.6152376561174,0.49984124725709067,0.02843050584965983,0.048376368498466514,0.9516236315015335,0.012020683959783347
31,701.8921628324586,0.49983287254581144,0.02804371884629656,0.04896328868316406,0.951036711316836,0.012415845674425854
32,693.1690880087998,0.49982421649561304,0.02765748140904318,0.04956493341749807,0.9504350665825019,0.012810739161877631
33,684.446013185141,0.49981526796990655,0.027271793000494336,0.05018186365408491,0.949818136345915,0.01320537609613296
34,675.7229383614822,0.4998060152289305,0.026886653086806284,0.05081466920026724,0.9491853307997328,0.013599768750797086
35,666.9998635378233,0.49979644588837646,0.026502061137901625,0.051463970597215296,0.9485360294027847,0.013993930040255762
36,658.2767887141645,0.49978654687456237,0.026118016627690928,0.05213042114777952,0.9478695788522205,0.014387873564280555
37,649.5537138905057,0.49977630437581066,0.025734519034312914,0.05281470910701314,0.9471852908929869,0.014781613656410269
38,640.8306390668469,0.4997657037896538,0.025351567840395665,0.053517560050791405,0.9464824399492086,0.015175165436484391
39,632.1075642431881,0.4997547296654441,0.02496916253334012,0.054239739439647716,0.9457602605603523,0.01556854486774963
40,623.3844894195292,0.4997433656418924,0.024587302605629115,0.05498205539685447,0.9450179446031455,0.01596176881901231
41,614.6614145958704,0.4997315943790038,0.024205987555164264,0.05574536172192466,0.9442546382780753,0.01635485513236581
42,605.9383397722116,0.49971939748381905,0.023825216885632723,0.056530561163135484,0.9434694388368645,0.016747822697082075
43,597.2152649485528,0.4997067554292918,0.023444990106908734,0.05733860897542014,0.9426613910245799,0.017140691530333287
44,588.492190124894,0.49969364746555023,0.023065306735492556,0.058170516793076575,0.9418294832069234,0.017533482865491064
45,579.7691153012352,0.4996800515226931,0.022686166294990946,0.05902735685026961,0.9409726431497304,0.017926219248849778
46,571.0460404775763,0.49966594410417237,0.022307568316644925,0.05991026658630788,0.9400897334136922,0.018318924645716557
47,562.3229656539174,0.4996513001696698,0.021929512339909123,0.06082045367723802,0.939179546322762,0.018711624556954926
48,553.5998908302587,0.4996360930062429,0.021551997913088674,0.06175920154050277,0.9382407984594973,0.019104346147202276
49,544.8768160065999,0.4996202940863597,0.021175024594041976,0.06272787536536173,0.9372721246346383,0.019497118386132155
50,536.1537411829411,0.4996038729112147,0.020798591950955455,0.06372792872858261,0.9362720712714174,0.019889972204363674
51,527.4306663592822,0.4995867968375388,0.020422699563200142,0.06476091086273804,0.935239089137262,0.02028294066579489
52,518.7075915356234,0.49956903088582555,0.02004734702228035,0.0658284746534353,0.9341715253465647,0.020676059158427948
53,509.9845167119646,0.4995505375276099,0.01967253393288584,0.06693238545218194,0.9330676145478181,0.02106936560603809
54,501.26144188830574,0.49953127644907785,0.019298259914060485,0.06807453080356843,0.9319254691964316,0.02146290070339551
55,492.53836706464693,0.4995112042878822,0.018924524600504245,0.06925693119933353,0.9307430688006665,0.0218567081781474
56,483.81529224098813,0.49949027433955256,0.018551327644024982,0.07048175198798642,0.9295182480120135,0.0222508350829563
57,475.0922174173293,0.4994684362293211,0.01817866871516067,0.07175131658741403,0.9282486834125859,0.0226453321220521
58,466.3691425936705,0.49944563554451543,0.017806547504997383,0.07306812116978366,0.9269318788302163,0.023040254017021033
59,457.64606777001165,0.49942181342188774,0.017434963727209374,0.07443485101365593,0.9255651489863441,0.023435659917436735
60,448.9229929463528,0.4993969060832966,0.017063917120354218,0.07585439874826153,0.9241456012517385,0.02383161386288301
61,440.19991812269404,0.49937084431204065,0.01669340745046145,0.07732988475024045,0.9226701152497595,0.024228185304031747
62,431.4768432990352,0.4993435528608164,0.01632343451395825,0.07886467999486299,0.921135320005137,0.024625449691759213
63,422.75376847537643,0.49931494978064356,0.01595399814098613,0.08046243171312721,0.9195375682868728,0.02502348914490416
64,414.03069365171757,0.4992849456581847,0.015585098199168727,0.08212709226478494,0.917872907735215,0.02542239320918041
65,405.3076188280587,0.4992534427465365,0.01521673459790684,0.08386295170722968,0.9161370482927703,0.02582225972209052
66,396.58454400439996,0.4992203339717234,0.014848907293285498,0.08567467462374569,0.9143253253762543,0.026223195801524966
67,387.8614691807411,0.49918550179366455,0.014481616293699628,0.08756734187489786,0.9124326581251021,0.026625318979169664
68,379.13839435708235,0.49914881689614515,0.014114861666323412,0.08954649805763533,0.9104535019423646,0.027028758504065283
69,370.4153195334235,0.49911013667507204,0.013748643544573835,0.0916182056027426,0.9083817943972574,0.027433656846887977
70,361.6922447097646,0.49906930348787265,0.013382962136752446,0.09378910661862776,0.9062108933813723,0.02784017144190875
71,352.9691698861059,0.4990261426188213,0.013017817736087543,0.09606649380567657,0.9039335061943234,0.028248476711625028
72,344.246095062447,0.4989804599050761,0.012653210732447987,0.09845839203025017,0.9015416079697498,0.028658766429009747
73,335.52302023878815,0.4989320389555696,0.012289141626063399,0.1009736524732646,0.8990263475267354,0.02907125648490086
74,326.7999454151294,0.49888063787896114,0.011925611043662807,0.10362206167118768,0.8963779383288123,0.0294861881439099
75,318.07687059147054,0.49882598541656303,0.011562619757542802,0.10641446826793424,0.8935855317320658,0.029903831892428012
76,309.3537957678117,0.49876777635017067,0.011200168708205758,0.10936293092158392,0.8906370690784161,0.030324492008157424
77,300.6307209441529,0.4987056660212091,0.010838259031371344,0.11248089159552764,0.8875191084044723,0.03074851201395342
78,291.90764612049406,0.49863926375407913,0.010476892090378893,0.11578337945641798,0.884216620543582,0.031176281222075823
79,283.1845712968353,0.4985681249195712,0.010116069515277666,0.11928725186343679,0.8807127481365632,0.031608242631684984
80,274.46149647317645,0.4984917412989485,0.009755793250270964,0.12301148054838436,0.8769885194516156,0.032044902517314365
81,265.7384216495176,0.49840952930904925,0.009396065611670761,0.12697749316664453,0.8730225068333555,0.032486842145813835
82,257.01534682585884,0.49832081551394,0.009036889359180301,0.1312095830986474,0.8687904169013526,0.03293473219341357
83,248.29227200219998,0.49822481866556917,0.008678267784216423,0.1357354039107348,0.8642645960892652,0.033389350616748255
84,239.56919717854123,0.4981206272645113,0.008320204820214935,0.14058656953521761,0.8594134304647824,0.03385160498180763
85,230.84612235488237,0.4980071712828155,0.00796270518156475,0.14579938741014242,0.8542006125898576,0.03432256060215358
86,222.1230475312235,0.4978831862001745,0.00760577454021652,0.15141576010638907,0.848584239893611,0.03480347632614281
87,213.39997270756476,0.4977471668051729,0.007249419752420643,0.15748430218595974,0.8425156978140402,0.03529585050894031
88,204.6768978839059,0.49759730720236944,0.006893649152980613,0.16406173436767812,0.8359382656323219,0.03580148071118379
89,195.95382306024703,0.49743142198104606,0.0065384729416370505,0.17121463825638414,0.8287853617436158,0.036322542143850736
90,187.23074823658828,0.4972468412836591,0.006183903696987766,0.1790216844750672,0.8209783155249328,0.03686169208588699
91,178.50767341292942,0.49704026913676214,0.005829957069749452,0.18757648884361405,0.812423511156386,0.03742221086002226
92,169.78459858927056,0.49680758916650797,0.0054766527325988915,0.19699131104570203,0.803008688954298,0.03800819516742699
93,161.0615237656118,0.49654359349282756,0.0051240157041841155,0.2074018968427804,0.7925981031572196,0.03862482786952217
94,152.33844894195295,0.49624159704468485,0.004772078230458,0.218973891992604,0.781026108007396,0.039278761791391004
95,143.6153741182942,0.49589287684047845,0.0044208825160820635,0.2319114449005143,0.7680885550994857,0.039978677709973334
96,134.89229929463534,0.495485836642779,0.004070484787219372,0.24646889911746003,0.7535311008825399,0.040736115636535467
97,126.16922447097647,0.49500472738157403,0.0037209615035134597,0.26296690818635826,0.7370330918136417,0.04156674818144636
98,117.44614964731772,0.4944276237788018,0.0033724191598196326,0.28181496384067056,0.7181850361593294,0.04249239412791243
99,108.72307482365886,0.49372310506066014,0.0030250103240821607,0.30354332776991677,0.6964566722300832,0.04354432168179155
100,100.0,0.49284457161154205,0.0026789610108736346,0.32884882734925386,0.6711511726507462,0.044768904444118164
