number,type,Sample Name,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)","Na2O (wt%, PEC-corr) MI","Al2O3 (wt%, PEC-corr) MI","P2O5 (wt%, PEC-corr) MI","CaO (wt%, PEC-corr) MI","K2O (wt%, PEC-corr) MI","TiO2 (wt%, PEC-corr) MI","SiO2 (wt%, PEC-corr) MI","MgO (wt%, PEC-corr) MI","FeO (wt%, PEC-corr) MI","MnO (wt%, PEC-corr) MI","H2O (wt%) (wt%, PEC-corr) MI",Total CO2 (PEC-corrected) ppm,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol
28,MI,LL8_300R,Fissure 8 (Mid July),2.19,12.14,0.33,10.68,0.45,2.42,49.06,10.84,11.34,0.18,0.21,288,0.86,46.03,40.04,12.9,0.05,0.23,0.17,0.29
29,MI,LL8_232,Fissure 8 (Mid July),2.35,12.11,0.22,10.41,0.37,2.15,50.19,10.32,11.34,0.16,0.2,578,0.86,45.68,40.27,13.7,0.04,0.24,0.19,0.35
30,MI,LL4_B,Fissure 8 (May 30th),2.46,12.86,0.26,10.31,0.44,2.04,50.54,9.2,11.33,0.11,0.26,383,0.84,44.37,39.65,15.12,0.04,0.25,0.21,0.31
31,MI,LL4_25_A,Fissure 8 (May 30th),2.21,11.94,0.22,10.11,0.44,2.2,49.92,11.06,11.34,0.15,0.24,632,0.86,45.95,39.79,12.84,0.04,0.23,0.17,0.38
32,MI,LL4_25_B,Fissure 8 (May 30th),2.25,11.47,0.25,9.75,0.45,2.22,49.46,12.2,11.34,0.2,0.23,1195,0.88,46.75,40.15,11.68,0.05,0.23,0.15,0.39
33,MI,LL4_2,Fissure 8 (May 30th),2.84,12.88,0.32,9.61,0.37,2.11,51.71,8.14,11.33,0.23,0.29,490,0.82,43.11,39.53,16.93,0.05,0.23,0.22,0.26
34,MI,LL4_3,Fissure 8 (May 30th),2.18,11.39,0.22,9.95,0.33,2.36,49.15,12.52,11.33,0.16,0.22,558,0.88,47.16,40.02,11.42,0.06,0.23,0.15,0.38
35,MI,LL4_12,Fissure 8 (May 30th),2.22,11.32,0.21,9.5,0.31,1.9,49.27,13.41,11.33,0.13,0.22,759,0.89,47.17,40.26,10.71,0.05,0.25,0.15,0.39
36,MI,LL4_10,Fissure 8 (May 30th),2.2,11.66,0.27,9.99,0.5,2.51,48.75,12.17,11.33,0.21,0.23,572,0.88,46.66,40.08,11.53,0.04,0.23,0.15,0.37
37,MI,LL4_9,Fissure 8 (May 30th),2.46,13.06,0.29,10.09,0.35,2.2,50.86,8.68,11.34,0.22,0.28,588,0.83,43.69,39.49,16.05,0.05,0.24,0.2,0.29
38,MI,LL4_8,Fissure 8 (May 30th),2.18,11.17,0.17,9.45,0.29,1.85,49.73,13.31,11.33,0.15,0.22,672,0.89,47.63,40.41,11.01,0.05,0.23,0.15,0.38
39,MI,LL4_23,Fissure 8 (May 30th),2.4,12.25,0.24,10.35,0.39,2.2,50.3,9.97,11.35,0.14,0.25,657,0.85,45.07,39.89,14.05,0.04,0.23,0.19,0.33
40,MI,LL4_39c,Fissure 8 (May 30th),2.77,13.47,0.3,10.36,0.36,2.05,51.64,6.84,11.57,0.18,0.29,185,0.79,40.26,38.28,19.49,0.04,0.27,0.25,0.18
41,MI,LL4_18b,Fissure 8 (May 30th),2.18,11.39,0.22,9.45,0.32,1.92,49.22,13.4,11.34,0.19,0.21,563,0.89,47.31,40.19,10.78,0.05,0.23,0.13,0.4
42,MI,LL7_115_A,Fissure 8 (Aug 1st),2.12,11.69,0.14,10,0.32,2.01,49.28,12.57,11.34,0.18,0.19,266,0.88,47,39.92,11.41,0.05,0.23,0.15,0.38
43,MI,LL7_115_B,Fissure 8 (Aug 1st),2.25,11.53,0.27,9.77,0.35,2.07,49.76,12.12,11.33,0.2,0.19,375,0.88,46.72,40,11.86,0.05,0.23,0.16,0.37
44,MI,LL7_114,Fissure 8 (Aug 1st),2.16,11.37,0.3,9.98,0.38,2.12,49.22,12.63,11.34,0.16,0.17,528,0.88,47.4,40.41,11.42,0.05,0.23,0.14,0.37
45,MI,LL7_111_A,Fissure 8 (Aug 1st),2.2,11.29,0.22,9.44,0.36,1.97,49.56,13.08,11.33,0.2,0.18,628,0.88,47.49,40.33,11.14,0.05,0.23,0.14,0.39
46,MI,LL7_108,Fissure 8 (Aug 1st),2.35,12.84,0.24,10.46,0.48,2.28,49.59,9.91,11.34,0.14,0.2,242,0.85,44.82,39.15,13.92,0.05,0.24,0.17,0.32
47,MI,LL7_203,Fissure 8 (Aug 1st),2.26,11.52,0.33,9.7,0.39,1.96,49.19,12.8,11.33,0.16,0.18,533,0.88,47.23,40.12,11.22,0.06,0.23,0.15,0.4
48,MI,LL7_248,Fissure 8 (Aug 1st),2.19,11.76,0.22,9.83,0.4,2.14,49.36,12.23,11.33,0.19,0.18,401,0.88,46.76,39.88,11.68,0.05,0.23,0.15,0.36
49,MI,LL7_287,Fissure 8 (Aug 1st),2.33,11.95,0.24,10.3,0.48,2.53,50.03,10.29,11.33,0.17,0.19,186,0.86,45.72,40.3,13.67,0.05,0.23,0.16,0.34
50,MI,LL7_290_C,Fissure 8 (Aug 1st),2.07,11.9,0.26,10.21,0.35,2.14,49.6,11.63,11.33,0.16,0.19,216,0.87,46.97,40.56,12.48,0.04,0.24,0.16,0.33
51,MI,LL7_290_B,Fissure 8 (Aug 1st),2.18,12.24,0.22,10.38,0.41,2.22,49.32,11.17,11.34,0.17,0.19,352,0.87,46.25,40.04,12.67,0.04,0.24,0.16,0.33
52,MI,LL7_111_B,Fissure 8 (Aug 1st),2.17,11.52,0.22,9.44,0.31,1.92,49.45,13.15,11.34,0.14,0.2,792,0.88,47.06,40.04,10.99,0.06,0.23,0.15,0.39
53,MI,LL4_13,Fissure 8 (May 30th),2.65,13.54,0.16,10.32,0.5,2.97,50.1,7.75,11.34,0.22,0.27,1405,0.82,42.57,39.26,17.08,0.03,0.24,0.23,0.25
54,MI,LL4_39a,Fissure 8 (May 30th),2.65,13.73,0.3,10.37,0.35,2.1,51.55,6.87,11.49,0.16,0.28,129,0.79,40.67,38.52,19.52,0.04,0.26,0.26,0.19
55,MI,LL7_116,Fissure 8 (Aug 1st),2.17,11.7,0.27,10.15,0.48,2.46,49.43,11.5,11.33,0.19,0.16,615,0.87,46.32,39.88,12.29,0.05,0.22,0.15,0.38
56,MI,LL7_282,Fissure 8 (Aug 1st),2.06,11.36,0.21,9.63,0.3,1.96,49.37,13.28,11.33,0.15,0.17,646,0.89,47.65,40.51,11,0.05,0.23,0.14,0.39
57,MI,LL4_19c,Fissure 8 (May 30th),2.44,13.44,0.28,10.17,0.38,2.51,51.12,7.53,11.43,0.24,0.3,228,0.8,41.94,39.27,18.17,0.03,0.22,0.26,0.24
58,MI,LL4_14_a,Fissure 8 (May 30th),2.77,13.21,0.39,9.5,0.73,3.4,51.01,6.42,11.91,0.2,0.29,266,0.77,39.65,39.14,20.74,0.03,0.24,0.31,0.19
59,MI,LL4_14_d,Fissure 8 (May 30th),2.62,13,0.38,9.51,0.66,3.4,51.21,6.54,12,0.22,0.28,258,0.77,39.65,39.14,20.74,0.03,0.24,0.31,0.19
60,MI,LL4_14_c,Fissure 8 (May 30th),2.81,13.11,0.4,9.6,0.74,3.47,50.91,6.43,11.88,0.17,0.29,266,0.77,40.13,39.67,20.79,0.02,0.23,0.3,0.2
61,MI,LL4_14_b,Fissure 8 (May 30th),2.87,13.09,0.39,9.53,0.69,3.49,50.97,6.42,11.86,0.21,0.29,281,0.77,40.13,39.67,20.79,0.02,0.23,0.3,0.2
62,MI,LL4_20,Fissure 8 (May 30th),2.33,13.08,0.27,10.52,0.47,2.56,51.83,6.88,11.51,0.1,0.27,81,0.79,41.05,39.54,19.83,0.03,0.28,0.28,0.17
63,MI,LL4_31b,Fissure 8 (May 30th),2.41,13.19,0.27,10.44,0.41,2.45,51.37,7.44,11.37,0.19,0.28,116,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19
64,MI,LL4_31a,Fissure 8 (May 30th),2.44,13.33,0.31,10.47,0.41,2.37,51.29,7.41,11.33,0.18,0.28,119,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19
65,MI,LL4_32b,Fissure 8 (May 30th),2.58,13.17,0.31,10.3,0.54,2.76,51.26,7.06,11.34,0.23,0.28,221,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17
66,MI,LL4_32a,Fissure 8 (May 30th),2.42,13.18,0.27,10.57,0.4,2.48,51.57,7.16,11.34,0.19,0.26,115,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17
