,Na2O,Al2O3,P2O5,CaO,K2O,TiO2,SiO2,MgO,FeO,MnO,H2O,CO2,number,T_C,type,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,Model,Warnings
LL4_20,2.33,13.08,0.27,10.52,0.47,2.56,51.83,6.88,11.51,0.1,0.5,0.0081,62,1152.288,MI,Fissure 8 (May 30th),81.0,0.0,0.79,41.05,39.54,19.83,0.03,0.28,0.28,0.17,242.9834307461584,0.14338152550431046,0.8566184744956895,IaconoMarziano,
LL4_23,2.4,12.25,0.24,10.35,0.39,2.2,50.3,9.97,11.35,0.14,0.5,0.0657,39,1214.397,MI,Fissure 8 (May 30th),657.0,707.815916,0.85,45.07,39.89,14.05,0.04,0.23,0.19,0.33,1294.5594181326796,0.02177390338219242,0.9782260966178076,IaconoMarziano,
LL4_24a,2.35,13.75,0.29,10.89,0.51,2.63,50.53,6.97,11.39,0.22,0.5,0.025,88,1154.0969999999998,MI,Fissure 8 (May 30th),250.0,0.0,0.79,40.52,38.7,18.71,0.04,0.27,0.25,0.21,605.2594598042962,0.05756724755519793,0.9424327524448021,IaconoMarziano,
LL4_24b,2.45,13.93,0.3,10.89,0.49,2.62,50.22,6.96,11.43,0.24,0.5,0.0322,89,1153.8959999999997,MI,Fissure 8 (May 30th),322.0,0.0,0.79,40.52,38.7,18.71,0.04,0.27,0.25,0.21,734.1012225772303,0.047571821690087335,0.9524281783099127,IaconoMarziano,
LL4_25_A,2.21,11.94,0.22,10.11,0.44,2.2,49.92,11.06,11.34,0.15,0.5,0.0632,31,1236.306,MI,Fissure 8 (May 30th),632.0,656.5137245,0.86,45.95,39.79,12.84,0.04,0.23,0.17,0.38,1228.7997229029988,0.02135145935745809,0.9786485406425419,IaconoMarziano,
LL4_25_B,2.25,11.47,0.25,9.75,0.45,2.22,49.46,12.2,11.34,0.2,0.5,0.1195,32,1259.2199999999998,MI,Fissure 8 (May 30th),1195.0,638.7161705,0.88,46.75,40.15,11.68,0.05,0.23,0.15,0.39,2004.0117155065489,0.012292064637986032,0.987707935362014,IaconoMarziano,
LL4_3,2.18,11.39,0.22,9.95,0.33,2.36,49.15,12.52,11.33,0.16,0.5,0.0558,34,1265.652,MI,Fissure 8 (May 30th),558.0,719.4576654,0.88,47.16,40.02,11.42,0.06,0.23,0.15,0.38,1031.422283978163,0.022573388827571168,0.9774266111724288,IaconoMarziano,
LL4_30,2.55,13.61,0.34,10.58,0.47,2.72,50.79,6.95,11.34,0.18,0.5,0.0276,74,1153.6949999999997,MI,Fissure 8 (May 30th),276.0,0.0,0.79,40.98,39.15,18.88,0.03,0.26,0.26,0.19,651.579247384166,0.05403034133563091,0.9459696586643691,IaconoMarziano,
LL4_31a,2.44,13.33,0.31,10.47,0.41,2.37,51.29,7.41,11.33,0.18,0.5,0.0119,64,1162.9409999999998,MI,Fissure 8 (May 30th),119.0,0.0,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19,317.4270727232622,0.10706003015370265,0.8929399698462973,IaconoMarziano,
LL4_31b,2.41,13.19,0.27,10.44,0.41,2.45,51.37,7.44,11.37,0.19,0.5,0.0116,63,1163.5439999999999,MI,Fissure 8 (May 30th),116.0,0.0,0.8,41.96,39.42,18.28,0.03,0.26,0.26,0.19,314.26644205840915,0.10764520200828077,0.8923547979917192,IaconoMarziano,
LL4_32a,2.42,13.18,0.27,10.57,0.4,2.48,51.57,7.16,11.34,0.19,0.5,0.0115,66,1157.9159999999997,MI,Fissure 8 (May 30th),115.0,0.0,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17,317.14562543281284,0.10834235862756256,0.8916576413724374,IaconoMarziano,
LL4_32b,2.58,13.17,0.31,10.3,0.54,2.76,51.26,7.06,11.34,0.23,0.5,0.0221,65,1155.906,MI,Fissure 8 (May 30th),221.0,0.0,0.8,41.6,39.61,18.86,0.03,0.27,0.27,0.17,538.5504764493757,0.06460408571177734,0.9353959142882227,IaconoMarziano,
LL4_33b,2.39,13.48,0.34,10.22,0.49,2.7,51.35,6.88,11.39,0.29,0.5,0.0243,73,1152.288,MI,Fissure 8 (May 30th),243.0,0.0,0.79,40.54,39.11,19.3,0.03,0.25,0.27,0.18,618.5416238957571,0.05844092694979763,0.9415590730502024,IaconoMarziano,
LL4_34a,2.58,13.22,0.29,9.69,0.5,2.87,51.31,7.61,11.36,0.11,0.5,0.0303,75,1166.9609999999998,MI,Fissure 8 (May 30th),303.0,0.0,0.81,42.14,39.76,17.74,0.04,0.22,0.25,0.24,716.2412547244437,0.048728629016833315,0.9512713709831667,IaconoMarziano,
LL4_34b,2.56,13.22,0.35,9.77,0.52,2.9,51.21,7.3,11.44,0.25,0.5,0.0295,76,1160.73,MI,Fissure 8 (May 30th),295.0,0.0,0.8,41.5,39.48,18.44,0.04,0.23,0.27,0.2,702.7765246960508,0.05022700037549155,0.9497729996245085,IaconoMarziano,
LL4_39a,2.65,13.73,0.3,10.37,0.35,2.1,51.55,6.87,11.49,0.16,0.5,0.0129,54,1152.087,MI,Fissure 8 (May 30th),129.0,1065.203614,0.79,40.67,38.52,19.52,0.04,0.26,0.26,0.19,334.49687121956066,0.1061508168214273,0.8938491831785726,IaconoMarziano,
LL4_39b,2.72,13.57,0.26,10.5,0.38,2.15,51.58,6.8,11.41,0.16,0.5,0.0256,101,1150.6799999999998,MI,Fissure 8 (May 30th),256.0,1018.408698,0.79,40.66,38.57,19.45,0.04,0.27,0.25,0.18,606.4440316632663,0.058558877902959994,0.94144112209704,IaconoMarziano,
LL4_39c,2.77,13.47,0.3,10.36,0.36,2.05,51.64,6.84,11.57,0.18,0.5,0.0185,40,1151.484,MI,Fissure 8 (May 30th),185.0,1058.769197,0.79,40.26,38.28,19.49,0.04,0.27,0.25,0.18,448.90502777956686,0.07812145414883304,0.9218785458511669,IaconoMarziano,
LL4_8,2.18,11.17,0.17,9.45,0.29,1.85,49.73,13.31,11.33,0.15,0.5,0.0672,38,1281.531,MI,Fissure 8 (May 30th),672.0,611.8077243,0.89,47.63,40.41,11.01,0.05,0.23,0.15,0.38,1209.3271585860127,0.018771003123116668,0.9812289968768834,IaconoMarziano,
LL4_9,2.46,13.06,0.29,10.09,0.35,2.2,50.86,8.68,11.34,0.22,0.5,0.0588,37,1188.4679999999998,MI,Fissure 8 (May 30th),588.0,815.8713796,0.83,43.69,39.49,16.05,0.05,0.24,0.2,0.29,1248.3639609868726,0.02579373809442171,0.9742062619055782,IaconoMarziano,
LL4_B,2.46,12.86,0.26,10.31,0.44,2.04,50.54,9.2,11.33,0.11,0.5,0.0383,30,1198.92,MI,Fissure 8 (May 30th),383.0,0.0,0.84,44.37,39.65,15.12,0.04,0.25,0.21,0.31,807.9914151219708,0.0370659625889445,0.9629340374110555,IaconoMarziano,
LL7_105a,2.13,11.48,0.34,9.56,0.42,2.08,49.05,13.09,11.34,0.16,0.5,0.0029,79,1277.109,MI,Fissure 8 (Aug 1st),29.0,0.0,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39,76.43549635468915,0.29081155347008486,0.7091884465299152,IaconoMarziano,"pressure (76.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (76.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL7_105b,2.05,11.11,0.21,9.48,0.35,1.99,49.67,13.25,11.34,0.2,0.5,0.0024,80,1280.3249999999998,MI,Fissure 8 (Aug 1st),24.0,0.0,0.88,47.36,40.84,11.03,0.05,0.23,0.16,0.39,69.73189210974104,0.3164893826751231,0.6835106173248768,IaconoMarziano,"pressure (69.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (69.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL7_106b,2.63,12.91,0.28,10.19,0.39,2.47,50.84,8.43,11.34,0.13,0.5,0.0126,92,1183.4429999999998,MI,Fissure 8 (Aug 1st),126.0,0.0,0.83,43.26,39.56,16.14,0.03,0.24,0.23,0.32,306.30684383045946,0.10221118735498361,0.8977888126450164,IaconoMarziano,
LL7_107,2.07,11.62,0.2,9.94,0.41,2.16,49.61,12.17,11.34,0.15,0.5,0.0121,81,1258.6169999999997,MI,Fissure 8 (Aug 1st),121.0,0.0,0.88,46.72,40.33,11.81,0.06,0.23,0.16,0.39,266.94533959900764,0.08886025398680049,0.9111397460131995,IaconoMarziano,
LL7_108,2.35,12.84,0.24,10.46,0.48,2.28,49.59,9.91,11.34,0.14,0.5,0.0242,46,1213.1909999999998,MI,Fissure 8 (Aug 1st),242.0,881.7036237,0.85,44.82,39.15,13.92,0.05,0.24,0.17,0.32,506.3915640550484,0.05514992861843875,0.9448500713815613,IaconoMarziano,
LL7_110a,2.04,11.31,0.17,9.66,0.32,1.97,49.89,12.75,11.33,0.21,0.5,0.003,77,1270.275,MI,Fissure 8 (Aug 1st),30.0,0.0,0.88,47.22,41.0,11.48,0.04,0.24,0.16,0.42,84.64270874655207,0.27058010038772345,0.7294198996122765,IaconoMarziano,"pressure (84.6 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (84.6 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL7_110b,2.03,11.41,0.16,9.75,0.35,1.98,49.72,12.71,11.34,0.2,0.5,0.0041,78,1269.471,MI,Fissure 8 (Aug 1st),41.0,0.0,0.88,47.22,41.0,11.48,0.04,0.24,0.16,0.42,106.10142810177142,0.21581508329349564,0.7841849167065044,IaconoMarziano,
LL7_111_A,2.2,11.29,0.22,9.44,0.36,1.97,49.56,13.08,11.33,0.2,0.5,0.0628,45,1276.908,MI,Fissure 8 (Aug 1st),628.0,535.5720651,0.88,47.49,40.33,11.14,0.05,0.23,0.14,0.39,1125.7710203978536,0.02042608524771511,0.9795739147522848,IaconoMarziano,
LL7_111_B,2.17,11.52,0.22,9.44,0.31,1.92,49.45,13.15,11.34,0.14,0.5,0.0792,52,1278.315,MI,Fissure 8 (Aug 1st),792.0,565.0824131,0.88,47.06,40.04,10.99,0.06,0.23,0.15,0.39,1383.7033936206005,0.016836054522079633,0.9831639454779204,IaconoMarziano,
LL7_114,2.16,11.37,0.3,9.98,0.38,2.12,49.22,12.63,11.34,0.16,0.5,0.0528,44,1267.8629999999998,MI,Fissure 8 (Aug 1st),528.0,530.8783124,0.88,47.4,40.41,11.42,0.05,0.23,0.14,0.37,965.5058646617558,0.023789175526070787,0.9762108244739293,IaconoMarziano,
LL7_115_A,2.12,11.69,0.14,10.0,0.32,2.01,49.28,12.57,11.34,0.18,0.5,0.0266,42,1266.6569999999997,MI,Fissure 8 (Aug 1st),266.0,676.7966132,0.88,47.0,39.92,11.41,0.05,0.23,0.15,0.38,523.9243322965795,0.04419949439076736,0.9558005056092327,IaconoMarziano,
LL7_115_B,2.25,11.53,0.27,9.77,0.35,2.07,49.76,12.12,11.33,0.2,0.5,0.0375,43,1257.612,MI,Fissure 8 (Aug 1st),375.0,612.7766319,0.88,46.72,40.0,11.86,0.05,0.23,0.16,0.37,732.7900802410618,0.03287661913450837,0.9671233808654917,IaconoMarziano,
LL7_116,2.17,11.7,0.27,10.15,0.48,2.46,49.43,11.5,11.33,0.19,0.5,0.0615,55,1245.15,MI,Fissure 8 (Aug 1st),615.0,538.3012424,0.87,46.32,39.88,12.29,0.05,0.22,0.15,0.38,1163.9131525235214,0.021533268800683864,0.9784667311993162,IaconoMarziano,
LL7_118,2.29,12.36,0.21,9.96,0.39,2.05,50.0,10.87,11.34,0.19,0.5,0.0043,103,1232.487,MI,Fissure 8 (Aug 1st),43.0,693.9014504,0.86,45.89,39.87,13.1,0.06,0.23,0.17,0.34,115.20377182273562,0.22838323352947865,0.7716167664705214,IaconoMarziano,
LL7_203,2.26,11.52,0.33,9.7,0.39,1.96,49.19,12.8,11.33,0.16,0.5,0.0533,47,1271.2799999999997,MI,Fissure 8 (Aug 1st),533.0,622.3912029,0.88,47.23,40.12,11.22,0.06,0.23,0.15,0.4,941.0785361597058,0.02444030501573951,0.9755596949842605,IaconoMarziano,
LL7_204,2.1,12.64,0.26,11.01,0.46,2.37,50.17,9.0,11.33,0.26,0.5,0.0096,91,1194.9,MI,Fissure 8 (Aug 1st),96.0,0.0,0.84,43.43,39.6,15.17,0.05,0.24,0.21,0.32,247.4024298856491,0.11710100434086533,0.8828989956591347,IaconoMarziano,
LL7_205b,2.28,11.84,0.19,10.0,0.39,2.06,50.01,11.38,11.34,0.17,0.5,0.0028,102,1242.7379999999998,MI,Fissure 8 (Aug 1st),28.0,808.9722368,0.87,46.19,39.97,12.53,0.05,0.24,0.15,0.35,82.17087721874401,0.3027919537242391,0.6972080462757608,IaconoMarziano,"pressure (82.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (82.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL7_248,2.19,11.76,0.22,9.83,0.4,2.14,49.36,12.23,11.33,0.19,0.5,0.0401,48,1259.8229999999999,MI,Fissure 8 (Aug 1st),401.0,590.9198518,0.88,46.76,39.88,11.68,0.05,0.23,0.15,0.36,763.8382980380837,0.0314352964228142,0.9685647035771858,IaconoMarziano,
LL7_270,2.32,12.83,0.21,10.11,0.44,2.16,50.56,9.53,11.34,0.16,0.5,0.0033,90,1205.5529999999999,MI,Fissure 8 (Aug 1st),33.0,0.0,0.84,44.06,39.58,14.56,0.05,0.22,0.17,0.35,102.31492555255704,0.2852231671297849,0.7147768328702151,IaconoMarziano,
LL7_272,2.45,13.23,0.29,10.03,0.51,2.92,51.73,6.81,11.51,0.15,0.5,0.0123,71,1150.8809999999999,MI,Fissure 8 (Aug 1st),123.0,0.0,0.79,40.87,39.59,19.85,0.03,0.25,0.28,0.17,342.91661263546257,0.10491659664588446,0.8950834033541155,IaconoMarziano,
LL7_282,2.06,11.36,0.21,9.63,0.3,1.96,49.37,13.28,11.33,0.15,0.5,0.0646,56,1280.9279999999999,MI,Fissure 8 (Aug 1st),646.0,614.2125021,0.89,47.65,40.51,11.0,0.05,0.23,0.14,0.39,1172.9921900979903,0.019365248226693783,0.9806347517733062,IaconoMarziano,
LL7_287,2.33,11.95,0.24,10.3,0.48,2.53,50.03,10.29,11.33,0.17,0.5,0.0186,49,1220.8289999999997,MI,Fissure 8 (Aug 1st),186.0,861.5651646,0.86,45.72,40.3,13.67,0.05,0.23,0.16,0.34,409.56167653966776,0.06510622278720798,0.934893777212792,IaconoMarziano,
LL7_290_B,2.18,12.24,0.22,10.38,0.41,2.22,49.32,11.17,11.34,0.17,0.5,0.0352,51,1238.5169999999998,MI,Fissure 8 (Aug 1st),352.0,289.071394,0.87,46.25,40.04,12.67,0.04,0.24,0.16,0.33,700.8604759948132,0.03637700990099239,0.9636229900990076,IaconoMarziano,
LL7_290_C,2.07,11.9,0.26,10.21,0.35,2.14,49.6,11.63,11.33,0.16,0.5,0.0216,50,1247.763,MI,Fissure 8 (Aug 1st),216.0,347.1644547,0.87,46.97,40.56,12.48,0.04,0.24,0.16,0.33,462.132743343445,0.053429515984157655,0.9465704840158423,IaconoMarziano,
LL8_155_c,2.29,11.51,0.21,9.95,0.27,2.0,49.47,12.45,11.34,0.17,0.5,0.0052,100,1264.245,MI,Fissure 8 (Mid July),52.0,686.1614586,0.88,46.56,39.86,11.4,0.04,0.24,0.15,0.38,122.59173425230647,0.1866276077616625,0.8133723922383375,IaconoMarziano,
LL8_156,2.18,11.18,0.2,9.26,0.28,1.8,49.76,13.48,11.34,0.16,0.5,0.0569,18,1284.9479999999999,MI,Fissure 8 (Mid July),569.0,499.411842,0.89,47.5,40.43,10.88,0.05,0.22,0.13,0.38,1034.65332920821,0.02179675487128088,0.9782032451287191,IaconoMarziano,
LL8_202_a,2.17,11.12,0.23,9.76,0.32,2.05,49.5,12.98,11.34,0.17,0.5,0.0035,97,1274.8980000000001,MI,Fissure 8 (Mid July),35.0,699.8220785,0.88,47.56,40.44,11.19,0.05,0.24,0.15,0.38,89.94027829135162,0.24501479967127657,0.7549852003287234,IaconoMarziano,"pressure (89.9 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (89.9 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_202_b,2.11,11.22,0.21,10.0,0.32,1.93,49.63,12.72,11.34,0.16,0.5,0.0015,98,1269.672,MI,Fissure 8 (Mid July),15.0,542.6435715,0.88,47.32,40.55,11.41,0.05,0.24,0.15,0.37,52.14253513658034,0.4276717779521404,0.5723282220478596,IaconoMarziano,"pressure (52.1 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (52.1 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_202_c,1.93,11.32,0.18,9.84,0.34,2.03,49.02,13.47,11.33,0.18,0.5,0.0292,16,1284.7469999999998,MI,Fissure 8 (Mid July),292.0,594.9053753,0.89,47.83,40.72,10.82,0.05,0.23,0.15,0.39,565.1375648924626,0.03858331550771436,0.9614166844922857,IaconoMarziano,
LL8_232,2.35,12.11,0.22,10.41,0.37,2.15,50.19,10.32,11.34,0.16,0.5,0.0578,29,1221.4319999999998,MI,Fissure 8 (Mid July),578.0,713.3817613,0.86,45.68,40.27,13.7,0.04,0.24,0.19,0.35,1146.0452245351646,0.023770049782175163,0.9762299502178249,IaconoMarziano,
LL8_243_b,2.14,11.86,0.19,9.56,0.31,1.92,48.99,13.18,11.33,0.17,0.5,0.0344,17,1278.9180000000001,MI,Fissure 8 (Mid July),344.0,597.6932825,0.89,47.39,39.85,10.96,0.05,0.22,0.15,0.39,633.2527634772318,0.0360739529519241,0.9639260470480759,IaconoMarziano,
LL8_249a,2.2,12.89,0.25,11.23,0.4,2.42,51.01,7.67,11.33,0.21,0.5,0.001,67,1168.167,MI,Fissure 8 (Mid July),10.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22,56.5401029394524,0.5602448349650935,0.4397551650349065,IaconoMarziano,"pressure (56.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (56.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_249b,2.18,12.88,0.24,11.08,0.41,2.38,51.17,7.73,11.37,0.19,0.5,0.0181,68,1169.373,MI,Fissure 8 (Mid July),181.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22,472.17125088689494,0.06818573866458864,0.9318142613354113,IaconoMarziano,
