,Na2O,Al2O3,P2O5,CaO,K2O,TiO2,SiO2,MgO,FeO,MnO,H2O,CO2,number,T_C,type,"Specific ID (LL8 - lab code for F8 Mid July, LL7- lab code for Aug 1st, LL4- lab code for May 30th)",Total CO2 (PEC-corrected) ppm,S_MI_PEC EPMA,Fo content (molar),MgO (wt%) Ol,SiO2 (wt%) Ol,FeO (wt%) Ol,Al2O3 (wt%) Ol,CaO (wt%) Ol,MnO (wt%) Ol,NiO (wt%) Ol,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,Model,Warnings
LL8_249c,2.3,13.03,0.22,10.54,0.5,2.54,51.45,7.68,11.34,0.15,0.5,0.0315,69,1168.368,MI,Fissure 8 (Mid July),315.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22,773.5548548634807,0.043441372588008835,0.9565586274119912,IaconoMarziano,
LL8_249d,2.25,13.07,0.25,10.82,0.43,2.52,51.23,7.68,11.34,0.16,0.5,0.0235,70,1168.368,MI,Fissure 8 (Mid July),235.0,0.0,0.81,42.46,39.6,17.77,0.03,0.29,0.26,0.22,596.0912590906341,0.05548569560401246,0.9445143043959875,IaconoMarziano,
LL8_280,1.98,11.89,0.25,10.16,0.43,2.28,49.76,11.36,11.33,0.19,0.5,0.0743,27,1242.3359999999998,MI,Fissure 8 (Mid July),743.0,740.4757952,0.87,46.57,40.46,12.74,0.04,0.23,0.16,0.31,1464.1683777111487,0.017774572190038432,0.9822254278099616,IaconoMarziano,
LL8_3001,2.23,13.4,0.42,11.14,0.49,2.22,49.33,8.87,11.33,0.18,0.5,0.0158,93,1192.2869999999998,MI,Fissure 8 (Mid July),158.0,0.0,0.84,43.5,39.71,15.25,0.05,0.29,0.21,0.33,356.1397739761926,0.08269547534898154,0.9173045246510184,IaconoMarziano,
LL8_300R,2.19,12.14,0.33,10.68,0.45,2.42,49.06,10.84,11.34,0.18,0.5,0.0288,28,1231.884,MI,Fissure 8 (Mid July),288.0,812.4837368,0.86,46.03,40.04,12.9,0.05,0.23,0.17,0.29,577.9755160798743,0.043887749101187055,0.9561122508988129,IaconoMarziano,
LL8_302,2.04,10.61,0.25,9.86,0.41,2.24,49.45,13.29,11.34,0.17,0.5,0.0716,20,1281.129,MI,Fissure 8 (Mid July),716.0,622.8480656,0.89,48.31,41.11,11.07,0.05,0.24,0.14,0.39,1296.4641209944432,0.016853722688681166,0.9831462773113189,IaconoMarziano,
LL8_400_a,2.14,11.31,0.27,9.57,0.41,2.18,49.2,13.07,11.34,0.17,0.5,0.0638,26,1276.7069999999999,MI,Fissure 8 (Mid July),638.0,684.0279385,0.88,47.69,40.24,11.11,0.04,0.23,0.15,0.38,1135.3156356175848,0.020108092702038526,0.9798919072979615,IaconoMarziano,
LL8_400_b,2.08,10.77,0.26,9.89,0.34,2.1,49.51,13.18,11.34,0.19,0.5,0.0028,99,1278.9180000000001,MI,Fissure 8 (Mid July),28.0,740.6704357,0.88,47.8,40.44,11.07,0.05,0.23,0.14,0.37,76.397117949542,0.2798722182816048,0.7201277817183952,IaconoMarziano,"pressure (76.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (76.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_401,2.01,11.02,0.2,9.75,0.33,2.03,49.59,13.24,11.33,0.15,0.5,0.0567,25,1280.1239999999998,MI,Fissure 8 (Mid July),567.0,563.6550572,0.88,47.79,40.51,11.09,0.05,0.23,0.14,0.39,1070.4298396524553,0.020908985703780313,0.9790910142962197,IaconoMarziano,
LL8_402a,2.24,12.02,0.26,10.21,0.34,2.17,49.73,11.07,11.33,0.25,0.5,0.0029,82,1236.507,MI,Fissure 8 (Mid July),29.0,0.0,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38,85.34538441150247,0.2964911666375306,0.7035088333624694,IaconoMarziano,"pressure (85.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (85.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_402b,2.33,11.75,0.2,10.32,0.38,2.13,50.0,11.02,11.34,0.17,0.5,0.0036,83,1235.502,MI,Fissure 8 (Mid July),36.0,0.0,0.86,45.68,40.03,12.74,0.05,0.23,0.18,0.38,98.47344626701613,0.2534281606072839,0.7465718393927161,IaconoMarziano,"pressure (98.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (98.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LL8_404_a,2.18,11.53,0.17,9.88,0.41,2.1,48.9,12.99,11.33,0.14,0.5,0.0488,6,1275.0990000000002,MI,Fissure 8 (Mid July),488.0,619.2847061,0.89,47.35,40.28,10.96,0.06,0.26,0.14,0.4,863.910786371906,0.026056126949351086,0.9739438730506489,IaconoMarziano,
LL8_404_b,2.08,11.46,0.21,9.8,0.37,2.13,49.06,13.02,11.34,0.2,0.5,0.0504,7,1275.7019999999998,MI,Fissure 8 (Mid July),504.0,658.622874,0.88,47.2,40.07,11.04,0.05,0.25,0.15,0.41,921.8104260256955,0.024619375971566854,0.9753806240284332,IaconoMarziano,
LL8_406,2.31,12.28,0.28,10.91,0.47,2.59,48.56,10.68,11.33,0.2,0.5,0.0324,19,1228.6680000000001,MI,Fissure 8 (Mid July),324.0,844.4250763,0.86,45.79,40.02,12.8,0.04,0.26,0.18,0.33,610.9936620610151,0.04130571881173679,0.9586942811882632,IaconoMarziano,
LL8_426,2.14,11.22,0.2,9.56,0.39,2.12,49.78,12.77,11.34,0.14,0.5,0.0538,24,1270.6770000000001,MI,Fissure 8 (Mid July),538.0,696.3377475,0.88,47.84,40.61,11.52,0.05,0.23,0.16,0.38,1019.9362904676661,0.022885610056794646,0.9771143899432053,IaconoMarziano,
LL8_435,2.36,13.09,0.26,10.22,0.52,2.68,49.75,9.18,11.33,0.25,0.5,0.0201,94,1198.518,MI,Fissure 8 (Mid July),201.0,1088.249001,0.84,44.51,40.03,15.03,0.03,0.26,0.21,0.28,448.3165186584583,0.06687779127503245,0.9331222087249675,IaconoMarziano,
LL8_447,2.05,12.17,0.42,10.17,0.31,2.66,49.21,11.16,11.34,0.16,0.5,0.0061,84,1238.3159999999998,MI,Fissure 8 (Mid July),61.0,0.0,0.87,46.22,40.74,12.81,0.05,0.24,0.18,0.33,156.10226673550517,0.1637362926470338,0.8362637073529662,IaconoMarziano,
LL8_606,2.11,11.7,0.25,10.26,0.41,2.28,49.53,11.57,11.34,0.2,0.5,0.0581,23,1246.5569999999998,MI,Fissure 8 (Mid July),581.0,687.83533,0.87,46.8,40.11,12.42,0.05,0.24,0.15,0.36,1123.0603004936213,0.022163388833707772,0.9778366111662923,IaconoMarziano,
LL8_610,1.99,10.98,0.19,9.58,0.34,2.02,49.28,13.73,11.34,0.2,0.5,0.0887,8,1289.973,MI,Fissure 8 (Mid July),887.0,620.3862327,0.89,48.01,40.37,10.69,0.05,0.23,0.15,0.4,1542.3103660261888,0.014268430537723484,0.9857315694622765,IaconoMarziano,
LL8_611,2.13,11.35,0.22,9.76,0.37,2.05,49.48,12.82,11.33,0.15,0.5,0.0529,21,1271.6819999999998,MI,Fissure 8 (Mid July),529.0,575.5892762,0.88,47.34,40.1,11.3,0.05,0.24,0.14,0.39,983.2812639600712,0.02344857985869907,0.9765514201413009,IaconoMarziano,
LL8_612_a,2.4,13.09,0.26,10.98,0.35,2.19,51.03,7.76,11.34,0.21,0.5,0.0645,9,1169.976,MI,Fissure 8 (Mid July),645.0,1000.841759,0.81,42.77,39.19,17.66,0.04,0.27,0.22,0.23,1398.5033125951586,0.02368515605727109,0.9763148439427289,IaconoMarziano,
LL8_613_a,2.2,11.82,0.19,10.35,0.42,2.48,49.3,11.38,11.33,0.15,0.5,0.0038,10,1242.7379999999998,MI,Fissure 8 (Mid July),38.0,724.4211531,0.87,46.94,40.32,12.51,0.03,0.25,0.16,0.39,100.90139922636834,0.24157817828593517,0.7584218217140648,IaconoMarziano,
LL8_613b,2.47,12.9,0.23,10.7,0.35,2.39,49.77,9.33,11.34,0.14,0.5,0.0213,1,1201.533,MI,Fissure 8 (Mid July),213.0,380.716223,0.84,44.8,39.91,14.8,0.04,0.25,0.19,0.33,460.82354462602956,0.062406173022895875,0.9375938269771041,IaconoMarziano,
LL8_615,2.13,10.93,0.23,9.44,0.33,1.82,49.68,13.61,11.34,0.15,0.5,0.0305,2,1287.5610000000001,MI,Fissure 8 (Mid July),305.0,494.3745463,0.89,48.18,40.59,10.88,0.05,0.24,0.14,0.4,582.7642621638375,0.03717615972478504,0.962823840275215,IaconoMarziano,
LL8_616_a,2.09,11.72,0.2,9.63,0.34,2.07,49.41,12.73,11.34,0.13,0.5,0.0481,22,1269.873,MI,Fissure 8 (Mid July),481.0,597.5154428,0.88,46.74,39.77,11.29,0.05,0.22,0.15,0.37,911.5747578214709,0.025985434255373446,0.9740145657446265,IaconoMarziano,
LL8_616_b,2.07,11.39,0.2,9.33,0.37,2.04,49.93,12.85,11.34,0.14,0.5,0.0653,15,1272.2849999999999,MI,Fissure 8 (Mid July),653.0,608.4105607,0.88,47.09,40.32,11.38,0.05,0.22,0.15,0.39,1234.5131571226038,0.019366348264375964,0.980633651735624,IaconoMarziano,
LL8_617_a,2.09,11.32,0.29,9.76,0.32,2.01,49.03,13.35,11.34,0.14,0.5,0.036,3,1282.335,MI,Fissure 8 (Mid July),360.0,603.9334656,0.89,48.07,40.66,10.96,0.05,0.24,0.14,0.4,668.2096302736978,0.03286446989913629,0.9671355301008637,IaconoMarziano,
LL8_617_b,2.04,11.41,0.24,9.65,0.33,2.04,49.09,13.36,11.33,0.17,0.5,0.0585,11,1282.536,MI,Fissure 8 (Mid July),585.0,575.4868172,0.89,48.28,40.64,11.03,0.05,0.23,0.15,0.4,1055.0531744511882,0.021293157323661615,0.9787068426763383,IaconoMarziano,
LL8_623_b,2.1,11.9,0.3,10.02,0.45,2.45,48.42,12.51,11.33,0.18,0.5,0.0791,4,1265.451,MI,Fissure 8 (Mid July),791.0,601.2885191,0.88,47.52,40.45,11.41,0.05,0.24,0.16,0.36,1353.669548371552,0.017494567110442318,0.9825054328895577,IaconoMarziano,
LL8_623_c,2.28,12.39,0.3,10.48,0.44,2.65,49.58,9.97,11.33,0.18,0.5,0.0287,95,1214.397,MI,Fissure 8 (Mid July),287.0,706.0135298,0.85,45.41,40.09,14.0,0.05,0.25,0.18,0.33,611.4755696974419,0.04508692448284014,0.9549130755171599,IaconoMarziano,
LL8_624,2.27,11.59,0.26,10.45,0.35,2.23,49.42,11.58,11.33,0.17,0.5,0.0418,12,1246.7579999999998,MI,Fissure 8 (Mid July),418.0,677.746711,0.87,46.48,39.9,12.19,0.05,0.23,0.15,0.37,800.1904012401918,0.03018232392411324,0.9698176760758868,IaconoMarziano,
LL8_626,2.18,11.61,0.21,9.79,0.33,2.03,49.22,12.78,11.33,0.17,0.5,0.0493,5,1270.8779999999997,MI,Fissure 8 (Mid July),493.0,553.6826164,0.88,47.43,40.65,11.3,0.04,0.23,0.15,0.4,902.381663781237,0.025665984049522316,0.9743340159504776,IaconoMarziano,
LL8_630,2.18,10.87,0.28,9.48,0.34,1.87,49.79,13.3,11.34,0.2,0.5,0.0762,13,1281.33,MI,Fissure 8 (Mid July),762.0,555.8628746,0.89,47.85,40.17,11.08,0.05,0.23,0.15,0.4,1352.1249429603286,0.01660305764879377,0.9833969423512062,IaconoMarziano,
LL8_631a,2.09,12.09,0.3,10.97,0.47,2.56,49.38,10.26,11.33,0.19,0.5,0.0285,14,1220.226,MI,Fissure 8 (Mid July),285.0,921.6336344,0.86,45.63,40.08,13.62,0.03,0.26,0.17,0.32,605.4662496558445,0.04328147005786385,0.9567185299421361,IaconoMarziano,
LL8_634,2.6,12.56,0.28,9.75,0.56,3.42,51.24,7.67,11.34,0.21,0.5,0.0242,96,1168.167,MI,Fissure 8 (Mid July),242.0,1193.063314,0.81,42.54,39.4,17.54,0.03,0.26,0.22,0.22,590.3694599854391,0.0571005541667893,0.9428994458332107,IaconoMarziano,
LLE_LL2_g1,3.83,12.62,0.62,3.78,2.45,1.61,65.06,1.14,8.1,0.12,0.17,0.000935,110,1036.9139999999998,MG,Fissure 17 (May 14th),9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.435279284025846,0.3560266442067367,0.6439733557932633,IaconoMarziano,"pressure (28.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (28.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLE_LL2_g2,3.9,13.28,0.49,4.27,2.28,1.53,64.29,1.01,8.5,0.12,0.18,0.0067670000000000004,111,1034.301,MG,Fissure 17 (May 14th),67.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.846525402894,0.0795379667245264,0.9204620332754736,IaconoMarziano,
LLE_LL2_g3,4.1,13.06,0.49,3.42,2.5,1.53,65.01,0.98,7.82,0.17,0.13,0.003517,112,1033.6979999999999,MG,Fissure 17 (May 14th),35.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.33712308074263,0.09691895210022153,0.9030810478997785,IaconoMarziano,"pressure (65.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (65.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLE_LL4_G1,2.47,12.89,0.27,9.97,0.53,2.88,50.1,5.85,11.29,0.18,0.08,0.001843,105,1131.585,MG,Fissure 8 (May 30th),18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.258312554309214,0.02297358963705993,0.97702641036294,IaconoMarziano,"pressure (50.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (50.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLE_LL4_G2,2.51,13.04,0.27,10.25,0.52,2.88,50.62,5.85,11.83,0.18,0.1,0.00283,104,1131.585,MG,Fissure 8 (May 30th),28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.66018545115136,0.022931750473385762,0.9770682495266142,IaconoMarziano,"pressure (75.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (75.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL1_g1a,3.02,12.57,0.49,7.73,1.17,3.35,53.92,3.58,12.09,0.24,0.13,0.00021,115,1085.958,MG,Fissure 13 Reactivated (May 15th),2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.188712600340322,0.3967024354695314,0.6032975645304686,IaconoMarziano,"pressure (9.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (9.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL1_g2,2.88,12.48,0.45,7.6,1.25,3.56,53.86,3.42,12.4,0.18,0.13,1e-06,116,1082.7419999999997,MG,Fissure 13 Reactivated (May 15th),0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.695224626564909,0.9926701305330602,0.007329869466939809,IaconoMarziano,"pressure (3.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (3.7 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL3_G2,3.02,12.17,0.52,8.27,1.0,4.21,51.57,4.4,13.25,0.22,0.12,0.000268,117,1102.44,MG,Fissure 8 (May 7th),2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360716080774555,0.28643681710647806,0.7135631828935219,IaconoMarziano,"pressure (9.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (9.4 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL6_G1,3.22,12.07,0.67,7.99,1.17,4.44,51.57,3.83,14.01,0.19,0.11,1e-06,113,1090.9829999999997,MG,Fissure 5 (May 4th),0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3119332043753213,0.9898250594426994,0.010174940557300616,IaconoMarziano,"pressure (2.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (2.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL6_G2,2.86,11.66,0.61,8.04,1.26,4.4,51.88,3.84,13.81,0.23,0.11,0.000105,114,1091.1839999999997,MG,Fissure 5 (May 4th),1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0404587076595035,0.45563748437879953,0.5443625156212004,IaconoMarziano,"pressure (5.0 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (5.0 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL7_G1,2.41,13.48,0.28,10.54,0.51,2.63,50.74,6.33,11.34,0.18,0.09,0.000446,108,1141.2329999999997,MG,Fissure 8 (Aug 1st),4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.121072063731665,0.10756313398949172,0.8924368660105083,IaconoMarziano,"pressure (13.1 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (13.1 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL8_g1,2.37,13.1,0.23,10.73,0.48,2.57,50.25,6.49,10.92,0.19,0.1,0.00010800000000000001,107,1144.449,MG,Fissure 8 (Mid July),1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512180007760941,0.3722940026273335,0.6277059973726665,IaconoMarziano,"pressure (4.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (4.5 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL8_g2,2.29,13.03,0.21,10.68,0.45,2.58,50.15,6.68,11.24,0.21,0.09,1e-06,106,1148.268,MG,Fissure 8 (Mid July),0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3447596645679385,0.9972745110973833,0.0027254889026167017,IaconoMarziano,"pressure (1.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (1.3 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
