,Unnamed: 0,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,0,95.4084995905145,-8.466706402848192,1163.54223422728,0.5,403.0,0.0019889274510858,0.9837785061862708,0.0,0.0371800187771076,0.9628199812228924,0.0,0.0,1.050537190078062,1.1588380907982718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013478661388076,34.897474666230686,0.0,0.0,0.1613723085469904,0.0,0.0,0.0,0.0,0.0258258302580465,0.1327339990521167,0.1628775104665882,11.391572376959374,0.0,0.0,0.0,-8.666706402848192,1573.258356221841,5804.092400543752,0.4712556236439318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1594.753498627288,0.0
1,1,95.31309568702048,-8.479129525555736,1163.5321460750013,0.4999967931374541,400.0326225300144,0.0019886175696459,0.9837819543852796,0.0060271751206204,0.0372158508999735,0.9567617429260912,0.0044440557979448,0.0015831193226756,1.0502839117449865,1.158578480758352,0.4482382075220726,0.9999969603113652,3.039688634904229e-06,0.0,3.852358722670279,3.852358722670279,3.0303644898308657,0.3934595953253095,0.0,150.27147182104392,0.7373364319116283,0.0175936740509631,34.896299883391755,4.907468675378377,1.5847944367247453,0.1613723085469904,6.384139435829367e-05,0.0035648148018043,3.1330867589784626e-08,1.1161088909036133e-08,0.0257057092984434,0.1328536380392088,0.1621204282816773,11.391572376959374,0.0,0.0,0.0,-8.666779476199752,1573.2930796686624,5804.09102238802,0.4780281664239034,0.0060271751206204,0.0372158508999735,0.9567617429260912,0.0044440557979448,0.0015831193226756,0.9999969603113652,3.039688634904229e-06,0.0,158.74132139495632,0.9999898332083668,2.1726021337706647,2.1726021337706647,1.172612300562298,1601.468799733969,0.0
2,2,95.21769178352648,-8.47920185667717,1163.5326905755412,0.4999967931374541,400.18393934658855,0.0019886181071052,0.9837854263673576,0.0060302235194885,0.0372522462379708,0.9581611977677856,0.0044460156763783,0.0015842078431102,1.0500307251283858,1.1583189448278932,0.4478167212900511,0.9999971207547496,2.8792452503626838e-06,0.0,3.848769651966151,3.848769651966151,3.032369627792346,0.3939110935121631,0.0,150.40876857267364,0.7372887028166816,0.0175879814747461,34.89558625805131,4.903619895877816,1.583914795527635,0.1613723085469904,6.382077806230566e-05,0.003564837698406,2.9647310389148096e-08,1.0563953225614713e-08,0.0257059506090685,0.1328534221684593,0.1621219241648753,11.391572376959374,0.0,0.0,0.0,-8.666852549551313,1573.321197852142,5804.09109243208,0.4780581990978597,0.0060302235194885,0.0372522462379708,0.9581611977677856,0.0044460156763783,0.0015842078431102,0.9999971207547496,2.8792452503626838e-06,0.0,158.89314793575772,0.9999855732886184,2.758860315675613,2.758860315675613,1.7588747423869948,1601.488141618962,0.0
3,3,95.12228788003247,-8.479286764707863,1163.5311584580736,0.4999964653298326,399.7347426777076,0.0019886166560749,0.9837889238202464,0.0060339689386319,0.0372886049448452,0.9581217202728484,0.0044484417517314,0.0015855271869005,1.0497776302609922,1.158059483013322,0.44810402004645,0.9999966614141016,3.338585898483892e-06,0.0,3.851237044528551,3.851237044528551,3.0342522363006657,0.3943623200774572,0.0,150.54854077054992,0.7372331208486437,0.0175811951653011,34.8947709313877,4.9002818811661495,1.583263846138927,0.1613723085469904,6.379603955325483e-05,0.0035648559919744,3.43965582265741e-08,1.2259726269949252e-08,0.0257060537459108,0.1328532461986422,0.1621226490965841,11.39157237695937,0.0,0.0,0.0,-8.666925622902873,1573.3494235117091,5804.0908815120165,0.4780937626726222,0.0060339689386319,0.0372886049448452,0.9581217202728484,0.0044484417517314,0.0015855271869005,0.9999966614141016,3.338585898483892e-06,0.0,158.78797687183223,0.9999804674169688,3.051935945818199,3.051935945818199,2.0519554784012306,1601.5058097105946,0.0
4,4,95.02688397653846,-8.479371720105174,1163.5296237675363,0.4999959731327912,399.2855944687338,0.0019886152006769,0.9837924484398514,0.0060377209041513,0.0373250382944585,0.9580823274356044,0.0044508719348992,0.001586848969252,1.0495246271756964,1.1578000953211316,0.4483917604627108,0.9999962021058146,3.7978941853743298e-06,0.0,3.853715108557344,3.853715108557344,3.0361411716565723,0.3948144769747034,0.0,150.68860061826445,0.7371774889162268,0.0175744238168222,34.89395809182455,4.896944343406574,1.5826129549083905,0.1613723085469904,6.377135528083728e-05,0.0035648742234035,3.915085983664688e-08,1.3958276599688337e-08,0.0257061564339771,0.1328530706827324,0.1621233711933764,11.391572376959374,0.0,0.0,0.0,-8.666998696254433,1573.377649918472,5804.090669989325,0.4781293887848716,0.0060377209041513,0.0373250382944585,0.9580823274356044,0.0044508719348992,0.001586848969252,0.9999962021058146,3.7978941853743298e-06,0.0,158.68277826105893,0.9999761732710332,3.198421433785458,3.198421433785458,2.1984452605144247,1601.523502707658,0.0
5,5,94.93148007304444,-8.479456684741537,1163.5280864273689,0.4999954794993007,398.8364705657737,0.0019886137408437,0.9837960000167522,0.0060414813075258,0.0373615456050023,0.9580428543423324,0.0044533078012494,0.0015881735062764,1.049271715905551,1.1575407817578935,0.4486801573228951,0.999995742804435,4.257195564963824e-06,0.0,3.8561988294725,3.8561988294725,3.0380343595227446,0.395267557312307,0.0,150.82894235800012,0.7371218372722541,0.0175676543547306,34.893146884935426,4.893609000277059,1.5819624295192294,0.1613723085469904,6.37466777961787e-05,0.003564892439811,4.3910511657752697e-08,1.5659710573412132e-08,0.0257062590432296,0.1328528952467315,0.1621240927926489,11.39157237695937,0.0,0.0,0.0,-8.667071769605993,1573.405877056911,5804.090457849301,0.47816504475224,0.0060414813075258,0.0373615456050023,0.9580428543423324,0.0044533078012494,0.0015881735062764,0.999995742804435,4.257195564963824e-06,0.0,158.577475552048,0.9999723785689196,3.271611915006056,3.271611915006056,2.271639536437136,1601.5411992807358,0.0
6,6,94.83607616955044,-8.479541657831602,1163.5265465797984,0.4999949844734336,398.3874154928757,0.0019886122767033,0.9837995771314668,0.0060452501532764,0.0373981262056828,0.9580033013399551,0.0044557493853783,0.0015895007678981,1.049018896483769,1.157281542330247,0.4489692109922538,0.9999952835554312,4.71644456867472e-06,0.0,3.858688210705947,3.858688210705947,3.0399318022972777,0.3957215538260902,0.0,150.96956669863826,0.7370661713582464,0.0175608867923121,34.892336426202135,4.890275869931834,1.581312231689027,0.1613723085469904,6.372200715830567e-05,0.0035649106417465,4.8675063737716034e-08,1.7363869575447553e-08,0.0257063615824702,0.1328527198890473,0.1621248139425425,11.391572376959372,0.0,0.0,0.0,-8.667144842957555,1573.4341049198704,5804.090245110908,0.4782007180278309,0.0060452501532764,0.0373981262056828,0.9580033013399551,0.0044557493853783,0.0015895007678981,0.9999952835554312,4.71644456867472e-06,0.0,158.4720693188742,0.9999688795062178,3.308154916192626,3.308154916192626,2.308186036686408,1601.5588994442303,0.0
7,7,94.74067226605644,-8.47962663938016,1163.5250042159796,0.4999944880509298,397.9384292595245,0.0019886108082409,0.983803178125724,0.006049027465225,0.037434780317078,0.9579636681978174,0.0044581967052912,0.0015908307599338,1.0487661689437222,1.157022377044908,0.4492589233653529,0.999994824358758,5.175641241904527e-06,0.0,3.8611832681081113,3.861183268108111,3.041833511785876,0.3961764685798942,0.0,151.1104744909713,0.7370104915080561,0.0175541211279962,34.89152665596273,4.886944952169131,1.580662358955568,0.1613723085469904,6.369734336115044e-05,0.0035649288291883,5.344453500005673e-08,1.907076242902002e-08,0.0257064640516506,0.1328525446097207,0.1621255346427587,11.39157237695937,0.0,0.0,0.0,-8.667217916309115,1573.4623335080398,5804.090031772299,0.4782364078007134,0.006049027465225,0.037434780317078,0.9579636681978174,0.0044581967052912,0.0015908307599338,0.999994824358758,5.175641241904527e-06,0.0,158.36655953457074,0.999965549985422,3.3263741769212007,3.3263741769212007,2.3264086269357787,1601.5766031963126,0.0
8,8,94.64526836256243,-8.479711629394751,1163.5234593269556,0.4999939902274911,397.4895118571024,0.0019886093354417,0.9838068058385278,0.0060528132706579,0.0374715081609176,0.9579239546723004,0.0044606497761636,0.0015921634944942,1.048513533318948,1.156763285908662,0.4495492965998738,0.9999943652143513,5.634785648777703e-06,0.0,3.8636840202913776,3.8636840202913776,3.0437395017540205,0.3966323054613055,0.0,151.25166658969098,0.7369547971663787,0.0175473573610094,34.89071767430171,4.883616243609311,1.5800128150820067,0.1613723085469904,6.367268640153096e-05,0.0035649470021113,5.821894460387746e-08,2.07803981342819e-08,0.0257065664506952,0.1328523694088174,0.1621262548928302,11.391572376959372,0.0,0.0,0.0,-8.667290989660675,1573.490562822092,5804.089817831644,0.4782721154509117,0.0060528132706579,0.0374715081609176,0.9579239546723004,0.0044606497761636,0.0015921634944942,0.9999943652143513,5.634785648777703e-06,0.0,158.26094608204832,0.9999623149028118,3.335431554243463,3.335431554243463,2.335469239340651,1601.5943105364345,0.0
9,9,94.54986445906842,-8.479796627882964,1163.5219119037415,0.4999934909988023,397.04066327797744,0.0019886078582908,0.9838104601121348,0.0060566075946091,0.037508309959824,0.9578841605212058,0.0044631086150713,0.0015934989795377,1.0482609896431434,1.1565042689283698,0.4498403326861007,0.9999939061221472,6.093877852634915e-06,0.0,3.866190484430047,3.866190484430047,3.045649784835104,0.3970890671645519,0.0,151.393143852936,0.7368990883681947,0.0175405954905791,34.88990947501379,4.880289742886527,1.5793635996640167,0.1613723085469904,6.364803627626704e-05,0.0035649651604907,6.299831179388635e-08,2.2492785682419627e-08,0.025706668779528,0.1328521942864031,0.1621269746922872,11.39157237695937,0.0,0.0,0.0,-8.667364063012235,1573.5187928627013,5804.089603287066,0.4783078409018803,0.0060566075946091,0.037508309959824,0.9578841605212058,0.0044631086150713,0.0015934989795377,0.9999939061221472,6.093877852634915e-06,0.0,158.1552289063258,0.9999591306649712,3.339907970688788,3.339907970688788,2.3399488400238164,1601.612021464051,0.0
