,P_kbar,P_MPa,T_K,CO2_dens_gcm3
0,0.5824129095090471,58.24129095090471,1532.873186707312,0.1766049518870811
1,0.5969633917639765,59.69633917639765,1531.215163399702,0.1805775727680157
2,0.5993999644346498,59.939996443464985,1534.365616553786,0.1808584680196267
3,0.4580255916132983,45.80255916132983,1486.618026953215,0.1473169977065135
4,0.3177867215437362,31.77867215437362,1534.208074843652,0.1024137476578844
5,0.24540163708858753,24.540163708858753,1534.208074843652,0.08037775124486757
6,0.7156389175587647,71.56389175587647,1582.854737696106,0.2040974805883403
7,0.3879910538868796,38.79910538868796,1481.155119511633,0.1273319653221847
8,0.3822240221983204,38.22240221983204,1482.030982110146,0.1255369057766238
9,0.5673880303028206,56.73880303028206,1580.2970211009,0.1677496646127494
10,0.5345759891462404,53.457598914624036,1575.711761671776,0.1597005899122124
11,0.5997554392987191,59.97554392987191,1577.489033576127,0.1762823315311834
12,0.5662662601199814,56.62662601199814,1579.978123055148,0.1674937402860905
13,0.60296773536442,60.29677353644201,1580.2970211009,0.1767974443646381
14,0.6011119590337405,60.111195903374046,1580.2970211009,0.1763295432119776
15,0.6110329469698679,61.10329469698679,1580.2970211009,0.1788258558626694
16,0.6015414848454346,60.15414848454346,1580.2970211009,0.1764378795796802
17,0.5962653877742536,59.62653877742536,1580.2970211009,0.1751054938958987
18,0.539378054262808,53.9378054262808,1580.2970211009,0.1605111803859671
19,0.6032760956093677,60.327609560936764,1580.2970211009,0.1768751494328171
20,0.5293670034967074,52.93670034967074,1580.2970211009,0.157899018267635
21,0.30149473805847105,30.149473805847105,1470.988707049071,0.101636444889678
22,0.30242669586527543,30.242669586527544,1472.827541370907,0.1018036540065452
23,0.3404224228966681,34.04224228966681,1472.117315079141,0.1136474592985195
24,0.3395393660065327,33.953936600653265,1468.281670875727,0.1136662516256095
25,0.34295267085623243,34.295267085623244,1468.281670875727,0.1147177954436458
26,0.29236198092453036,29.236198092453037,1468.281670875727,0.09894314397843118
27,0.23081849775414337,23.081849775414337,1567.314667651205,0.07426510018436261
28,0.12720688837309002,12.720688837309003,1463.84314130732,0.04478312444726384
29,0.12401238492122939,12.401238492122939,1464.06310708046,0.04368166396926654
30,0.25567739065576406,25.567739065576404,1463.84314130732,0.08751253174675355
31,0.23426819706983007,23.426819706983007,1463.84314130732,0.08057072491993722
32,1.1703545615743465,117.03545615743465,1607.021806905509,0.2975317112868652
33,0.4172869398988447,41.72869398988447,1467.442795867119,0.1372378775615601
34,0.2661571108317664,26.615711083176638,1471.483381811136,0.09041836804978232
35,0.20459590690330245,20.459590690330245,1471.483381811136,0.07046593110182542
36,0.21854714211588916,21.854714211588917,1471.483381811136,0.0750394677992503
37,0.21852890271098022,21.852890271098023,1471.483381811136,0.0750335082565492
38,0.23047631503344987,23.047631503344988,1471.483381811136,0.07892610047021265
39,0.16448108958180363,16.448108958180363,1471.483381811136,0.05714768724332231
40,0.20678202881905727,20.678202881905726,1471.483381811136,0.07118458943536154
41,0.21166361210404847,21.166361210404848,1471.483381811136,0.07278666736065986
42,0.2104431777800556,21.04431777800556,1471.483381811136,0.0723864821647382
43,0.247624249465786,24.7624249465786,1471.483381811136,0.08447410936189215
44,0.18337640547054726,18.337640547054725,1471.483381811136,0.06345187411956488
45,0.19112054491377545,19.112054491377545,1471.483381811136,0.06601974297797142
46,0.18114699764227485,18.114699764227485,1471.483381811136,0.06271091440626009
47,0.8090524052727943,80.90524052727943,1566.873074957393,0.2279151300790545
48,0.2829465374047825,28.29465374047825,1455.135851775816,0.09681728070273721
49,0.36694718808876403,36.6947188088764,1562.375274941469,0.1148851228354388
50,0.2982991037081986,29.829910370819864,1584.0407644911,0.09358078008535387
51,0.2996114737234848,29.96114737234848,1584.0407644911,0.09396508470850051
52,0.23460328388115687,23.460328388115688,1584.0407644911,0.07463648432782577
53,0.3819783025331917,38.19783025331917,1460.642405128789,0.1272558924083071
54,0.46537269573479434,46.537269573479435,1460.642405128789,0.1519831341611138
55,0.4197182583819693,41.97182583819693,1567.45980509251,0.1294199089677122
56,0.6443888615539842,64.43888615539842,1567.45980509251,0.1885616634717735
57,0.5037376884666961,50.373768846669606,1567.45980509251,0.152333306294878
58,0.3526959190708795,35.26959190708795,1487.519809962997,0.1162193717697448
59,0.3946855676349704,39.46855676349704,1472.735707733044,0.1300453000331316
60,0.43784897233543474,43.784897233543475,1472.735707733044,0.142796908119891
61,0.998000636991317,99.8000636991317,1574.495852110455,0.2681494381995435
62,0.7141452110341074,71.41452110341075,1509.444021187023,0.2129066994148161
63,0.31501715834703375,31.501715834703376,1515.934210958526,0.1027844149481396
64,0.31031770057417446,31.031770057417447,1516.001707460308,0.1013548673484692
65,0.30350095435776575,30.350095435776574,1513.646535574685,0.09943342144511291
66,0.1995291517868318,19.95291517868318,1497.037540140574,0.06763398415336752
67,0.2652446920262024,26.52446920262024,1457.561810431287,0.09097672299709814
