,P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
0,568.0510826,0.1999999999999993,3.2238564311504396e-09,0.10067936955613693,2686.8388821379026,2686.839242790049,1.3423914942207626e-05,1e-06,0.04208474990508551,0.062479735583091556,0.000791040613019577,5.072399897399521e-12,0.8939298754940348,0.02874864537461436,8.641377821699621e-10,0.009927995344287512,0.0029787451896115995,0.0011439615321302205,0.0,0.026745791133223326,3.7901004418228196e-05,3.856758331770297e-12,0.9348138445465899,0.019134067176912913,3.2940507907797786e-10,0.015112959197139224,0.0024122338278518007,0.0017432027806026226,0.0,35.169884075390335,0.4822637063804053,591.785841227614,18.795190445748663,5.694602386963324e-07,5.979976824025667,2.078469112165025,0.7201415639143458,0.0,31.094678161197574,14.30751694371691,90.04132702463392,0.3000349100007934,0.5,4.975554596240131e-06,0.0402924370665339,0.0,0.0,0.0,0.08001832778801776,0.036335895634710236,0.116354223422728,0.0,559.5414188446942,109.86737484622272,4733.477162877786,33519.35566914883,1163.5423500013037,0.0
1,568.0,0.20000411115177563,3.2238579127602066e-09,0.10067961498867663,2655.8111788517044,2655.8126323752995,5.933234069436237e-05,4.4711201327725525e-06,0.042084621033832155,0.06248533305706643,0.0007911112994769497,5.072858410764958e-12,0.8939232546816195,0.02874842584426501,8.641299906392184e-10,0.009928831155545655,0.002978992879330861,0.0011440502134927725,0.0,0.026748269160160813,3.790450727791822e-05,3.857118769915763e-12,0.9348097834903659,0.019133979657155607,3.2940311767771996e-10,0.015114277799277251,0.002412441798150242,0.0017433432543519979,0.0,35.16987192444587,0.48226342894318924,591.728241638857,18.793356757294035,5.69403895278583e-07,5.979942461138508,2.078455017700087,0.7201326256912284,0.0,31.094685306393817,14.30612930982091,90.0330804983351,0.30003459950741257,0.49999990156907176,4.967953837847414e-06,0.040289087880516626,0.0,0.0,0.0,0.08001781281523516,0.036336370416500924,0.11635418323173607,0.0,559.5414188449344,109.86737484622272,4733.476995988503,33519.35566914883,1163.5423500014679,0.0
2,558.0,0.19980202659862378,3.216681606190411e-09,0.10068191358359159,2655.422175695545,2655.680738249149,0.01053924995297817,0.0007798561091780985,0.04205849782989145,0.06359569702398161,0.0008071260026252214,5.162348619346306e-12,0.8925697500738782,0.02873045265316963,8.664675105120857e-10,0.01009448763415357,0.003038753777280519,0.0011637319632814374,0.0,0.027240494734644037,3.869583926358924e-05,3.9276001170763864e-12,0.9339741180189871,0.01913389429920645,3.3049932248200823e-10,0.01537599463282012,0.0024623657091109997,0.0017744364315407887,0.0,35.16702640504865,0.48276202343167435,578.8933213781293,18.406215747219733,5.594509695873061e-07,5.959178404308472,2.0780050477957093,0.7183347650362012,0.0,31.067027061803262,14.035065135575048,88.42150116207665,0.30103100696257584,0.4999768505205039,5.040630827566627e-06,0.03954159155474576,0.0,0.0,0.0,0.08000696275248503,0.036338079698857446,0.11634504245134247,0.0,559.5414186420749,109.86737484622272,4733.434694129695,33519.35566758927,1163.5423497619606,0.0
3,548.0,0.19959162047238443,3.2094597766108546e-09,0.10068383950071098,2655.0229023454644,2655.548826076953,0.02140633991312603,0.0015548173133890977,0.042031429867550936,0.06474633607907009,0.0008237315724952759,5.25495948667293e-12,0.8911681411270788,0.028711202415652518,8.687950321046433e-10,0.01026581410810207,0.003100658429065608,0.0011841153944857465,0.0,0.027751218007909143,3.951738848793665e-05,4.000634719114483e-12,0.9331080201297327,0.019133387879424226,3.3160052718784297e-10,0.015647030422973093,0.0025141463941381445,0.0018066794417335769,0.0,35.164150584770205,0.4832653437428133,566.129765044815,18.020632391491116,5.494911790840116e-07,5.938353734271271,2.077566654734143,0.7165368258081738,0.0,31.039039334738543,13.763993379312748,86.80930043568037,0.30203726625231614,0.49995355319459545,5.0476092374143856e-06,0.03879584789754528,0.0,0.0,0.0,0.07999662563213118,0.03633894518294493,0.11633557081507612,0.0,559.5414186691669,109.86737484622272,4733.399252557727,33519.35566779828,1163.5423497944637,0.0
4,538.0,0.19937904166361342,3.2022381407369094e-09,0.1006856721245603,2654.612622299259,2655.4169525844104,0.03269117524296679,0.002329949380111104,0.04200337861953327,0.0659393228714885,0.0008409584234873391,5.350994021678093e-12,0.889715889180778,0.028690352029677544,8.710807064937802e-10,0.010443393870032259,0.003164832276369423,0.0012052504717352346,0.0,0.028281424104008634,4.037076589670568e-05,4.076467015947288e-12,0.9322095677011168,0.0191322616369902,3.3269495676778357e-10,0.015928325725203453,0.0025678950735861456,0.001840154656426527,0.0,35.16116389449392,0.4837688702533707,553.4294913893079,17.63621937101148,5.394980501649416e-07,5.9175529097834065,2.0771202038507584,0.7147387189198313,0.0,31.010978473197135,13.492948523520283,85.19413327250386,0.30304633874348424,0.4999293568313497,5.054593094879208e-06,0.038051361090020636,0.0,0.0,0.0,0.07998622874070369,0.036339513446530136,0.11632574218723382,0.0,559.5414186912357,109.86737484622272,4733.365527991846,33519.35566796854,1163.5423498209393,0.0
5,528.0,0.19916416725867592,3.1950158660572225e-09,0.10068740586473786,2654.190648874361,2655.2851225677623,0.04442002402844751,0.0031053793240623483,0.041974288486452495,0.06717705032700044,0.0008588418143593242,5.450645226523805e-12,0.8882101414588772,0.028667808315774614,8.733212499718823e-10,0.010627575919232014,0.0032314018469248107,0.0012271794390596902,0.0,0.028832254574264183,4.125784371623314e-05,4.155260583649519e-12,0.9312768752030408,0.019130477410352023,3.3378186165551873e-10,0.0162204750270929,0.0026237256794089023,0.0018749339241878654,0.0,35.1580593926486,0.48427257503995136,540.7923165669881,17.252975673697467,5.294715304984539e-07,5.896773374354924,2.076665178472996,0.7129401907920802,0.0,30.98284081138267,13.221928279602942,83.57598649110027,0.3040582228236223,0.49990420509261124,5.0615819201503894e-06,0.03730809303294121,0.0,0.0,0.0,0.07997576785704136,0.0363397664202444,0.11631553427728575,0.0,559.5414187108472,109.86737484622272,4733.333623296414,33519.35566811975,1163.5423498444138,0.0
6,518.0,0.19894686383619842,3.187792050942581e-09,0.10068903465324887,2653.7562372362354,2655.153341181887,0.05662137513570193,0.003881243159583776,0.04194409959443622,0.0684620950273507,0.000877419721975441,5.554120874821751e-12,0.8866478266423065,0.028643470984997605,8.755131224135395e-10,0.010818735704908185,0.0033005032743161273,0.0012499477630782587,0.0,0.02940494189242135,4.218064386882115e-05,4.237191995243619e-12,0.9303079075224832,0.0191279940300186,3.348604309575476e-10,0.01652411965338824,0.0026817611325359284,0.0019110947861863666,0.0,35.154829550274854,0.4847764277789197,528.2180585046588,16.87090033567837,5.194115695740566e-07,5.876012371035805,2.076201018627346,0.7111409672466352,0.0,30.954622332841573,12.950930384004307,81.95484674240234,0.3050729183465285,0.4998780368685629,5.068575299298204e-06,0.03656600414616037,0.0,0.0,0.0,0.079965238417359,0.036339684506693753,0.11630492292405276,0.0,559.5414187282389,109.86737484622272,4733.3036501060315,33519.35566825379,1163.5423498651899,0.0
7,508.0,0.1987269863280403,3.1805657171801143e-09,0.10069055189276638,2653.3085781443747,2655.0216139771333,0.06932617690090499,0.004657686807854106,0.04191274737654637,0.06979723516304168,0.0008967331083480676,5.661644950949811e-12,0.8850256335466927,0.02861723194661672,8.776525023249185e-10,0.011017277677705538,0.003372283228393676,0.001273604445887412,0.0,0.03000081868628993,4.314135323624394e-05,4.322452136789057e-12,0.9293004648358758,0.019124767015308432,3.3592978627848857e-10,0.016839952469542716,0.002742134248570173,0.0019487210509245767,0.0,35.151466188289604,0.48528039549749713,515.7065370011113,16.48999244496363,5.093181188679619e-07,5.855266920874249,2.075727116447949,0.7093407513082799,0.0,30.926318631992118,12.679952600978133,80.33070050849517,0.30609042696797933,0.49985078576759245,5.075572781636345e-06,0.035825053268620705,0.0,0.0,0.0,0.07995463547976214,0.036339246416475526,0.11629388189623767,0.0,559.5414187436534,109.86737484622272,4733.275729795699,33519.35566837251,1163.5423498835573,0.0
8,498.0,0.19850429238652367,3.173335185239107e-09,0.10069194656525332,2652.846836494719,2654.8899433401207,0.0825661218247969,0.005434740306753386,0.04188019265245729,0.07118547359177173,0.0009168263469291634,5.7734581395742205e-12,0.8833431344138877,0.028589079166008093,8.797388080840938e-10,0.01122363741444392,0.0034436454704309645,0.0012982027110161535,0.0,0.030621307053923685,4.4142314752210066e-05,4.411243612217907e-12,0.9282547956881713,0.01912080426642493,3.36990088508129e-10,0.017168709527157915,0.0028023383037951498,0.001987902504373534,0.0,35.14796186764173,0.485784509658461,503.25936684323244,16.11031010742098,4.99193145938797e-07,5.834533420359416,2.075243367279368,0.7075394038135322,0.0,30.897921870256212,12.409036420542865,78.70381960816874,0.3068208053477627,0.49982239137841944,5.08257477799442e-06,0.03508530430068364,0.0,0.0,0.0,0.0799439717908115,0.03633842614735984,0.11628239793817134,0.0,559.5414187568965,109.86737484622272,4733.250065086621,33519.35566847444,1163.5423498993985,0.0
9,488.0,0.19827828162203787,3.1660969103915027e-09,0.1006931959261522,2652.370201532525,2654.758324453385,0.0963714591526923,0.006212179319476701,0.04184645431396205,0.07263006586187842,0.0009377478117353659,5.889817358784907e-12,0.8816061866153909,0.02855921255259,8.817789402786765e-10,0.011438283342378897,0.0035047018526511223,0.0013238010757064928,0.0,0.031267905354734365,4.518601918806541e-05,4.503776742618895e-12,0.9271764622816505,0.019116228904784396,3.380439007636755e-10,0.01751115855340225,0.0028543236275128895,0.002028734916179794,0.0,35.144312310835296,0.4862889900070198,490.8816636551538,15.732028146465623,4.89042777263071e-07,5.813806908286718,2.0747511982358318,0.7057372830739352,0.0,30.869415079003613,12.138309061869133,77.07504353813614,0.3064010348184141,0.49979281889244015,5.089584228142789e-06,0.03434702995508617,0.0,0.0,0.0,0.07993331191488241,0.0363371874165872,0.11627049933146962,0.0,559.5414187677163,109.86737484622272,4733.2270744888665,33519.35566855766,1163.5423499126475,0.0
