,SiO2,TiO2,Al2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,H2O,T_C,type,S,CO2_ppm,SaturationP_bars_VESIcal,XH2O_fl_VESIcal,XCO2_fl_VESIcal,Model,Warnings
LLf_LL7_110b,49.722,1.977,11.411,9.63475,1.88916647775,0.2,12.709,9.745,2.034,0.349,0.162,0.00410984936552993,0.5,1269.4508999999998,MI,660.670613649091,41.0984936552993,109.00816272854988,0.21015059869536945,0.7898494013046305,IaconoMarziano,
LLf_LL7_105a,49.053,2.081,11.475,9.63815,1.88983314434999,0.164,13.091,9.561,2.132,0.422,0.336,0.00293882730730055,0.5,1277.1291,MI,667.421919748229,29.388273073005504,78.95555360860534,0.28145284143006316,0.7185471585699368,IaconoMarziano,"pressure (79.0 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (79.0 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLF_LL7_105b,49.673,1.992,11.111,9.6356,1.88933314439999,0.202,13.246,9.478,2.053,0.352,0.212,0.00242795628784647,0.5,1280.2446,MI,497.200018656716,24.2795628784647,71.89453568169067,0.3071199832484081,0.6928800167515918,IaconoMarziano,"pressure (71.9 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (71.9 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLf_LL7_107,49.614,2.157,11.618,9.6373,1.88966647769999,0.151,12.171,9.936,2.066,0.406,0.198,0.0121310498953395,0.5,1258.6371,MI,815.253203498927,121.310498953395,275.7596775992986,0.08607301749018281,0.9139269825098172,IaconoMarziano,
LLf_LL7_272,51.219,3.413,13.048,9.62965,1.88816647785,0.223,5.91,10.232,2.496,0.522,0.294,0.0125571679878632,0.5,1132.7909999999997,MI,891.244383561643,125.571679878632,364.555342334906,0.10284852536876347,0.8971514746312366,IaconoMarziano,
LLG_LL8_402a,49.73,2.166,12.019,9.63135,1.88849981114999,0.254,11.073,10.214,2.242,0.34,0.261,0.00290732862563956,0.5,1236.5672999999997,MI,719.929814966431,29.0732862563956,87.2392878743365,0.28991011866295846,0.7100898813370415,IaconoMarziano,"pressure (87.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  pressure (87.2 bars) is outside the broad range suggested by Iacono-Marziano (100.0-10000.0 bars, although most calibration experiments were conducted at <5000 bars).  "
LLg_LL8_402b,50.001,2.131,11.749,9.6373,1.88966647769999,0.168,11.017,10.317,2.329,0.383,0.197,0.00364205912786467,0.5,1235.4416999999999,MI,736.91836154926,36.4205912786467,101.58772428302156,0.24576047520137365,0.7542395247986263,IaconoMarziano,
LLG_LL8_447,49.206,2.655,12.17,9.6407,1.8903331443,0.158,11.163,10.173,2.046,0.308,0.415,0.00605296825796558,0.5,1238.3763,MI,758.029349378259,60.5296825796558,159.20286275313293,0.1605110975285852,0.8394889024714148,IaconoMarziano,
LLg_LL4_17_A,51.015,3.374,13.208,9.63815,1.88983314434999,0.204,7.373,9.119,2.782,0.699,0.433,0.0234464668717243,0.5,1162.1972999999998,MI,1025.26594911567,234.464668717243,549.2333150287824,0.06501630854421206,0.934983691455788,IaconoMarziano,
LLg_LL4_17_C1,51.822,2.722,13.341,9.63985,1.89016647764999,0.181,7.376,9.145,2.85,0.447,0.299,0.0207971460954756,0.5,1162.2576,MI,1098.35893273205,207.971460954756,507.66915834881195,0.07119218797473881,0.9288078120252612,IaconoMarziano,
LLg_LL4_17_C2,51.974,2.796,13.088,9.6373,1.88966647769999,0.142,7.378,9.343,2.751,0.48,0.258,0.0202417597442448,0.5,1162.2977999999998,MI,1065.06811200759,202.417597442448,511.25163258286756,0.06977681406007649,0.9302231859399235,IaconoMarziano,
LLg_LL4_24a,51.546,3.461,13.233,9.72315,1.90649980934999,0.226,6.061,11.026,2.386,0.512,0.29,0.0252207474339571,0.5,1135.8260999999998,MI,1166.3742461964,252.207474339571,677.4893584634958,0.054226491243660566,0.9457735087563395,IaconoMarziano,
LLg_LL4_24b,51.659,3.483,13.32,9.64155,1.89049981094999,0.227,5.959,11.063,2.487,0.498,0.305,0.0326230539225884,0.5,1133.7759,MI,1170.55753797279,326.230539225884,840.5457724283067,0.04436754454328958,0.9556324554567104,IaconoMarziano,
LLG_LL7_270,50.557,2.163,12.827,9.6373,1.88966647769999,0.162,9.527,10.109,2.321,0.438,0.205,0.00328762632765537,0.5,1205.4926999999998,MI,648.468893785808,32.8762632765537,104.09982058093576,0.2803914160072704,0.7196085839927295,IaconoMarziano,
LLg_LL7_204,50.168,2.372,12.643,9.6322,1.8886664778,0.256,9.004,11.014,2.103,0.459,0.258,0.00957201563622656,0.5,1194.9804,MI,855.558132476343,95.72015636226561,252.4156608527663,0.11474248760884447,0.8852575123911556,IaconoMarziano,
LLg_LL7_106b,50.838,2.47,12.907,9.6373,1.88966647769999,0.129,8.431,10.193,2.633,0.392,0.281,0.0125821013703684,0.5,1183.4631,MI,1087.29053759467,125.82101370368399,312.4965592988773,0.10015969342898633,0.8998403065710137,IaconoMarziano,
LLg_LL8_3001,49.329,2.218,13.395,9.6322,1.8886664778,0.184,8.866,11.143,2.232,0.491,0.419,0.0157665365472471,0.5,1192.2066,MI,900.086254664603,157.665365472471,363.7822531955963,0.08094989784141593,0.9190501021585841,IaconoMarziano,
